****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth        TA       DIC        pH    OmegaC    OmegaA     R_cal     R_arg
      Step (FluxAvg)       (m)       (m)       (m)       (m) (mmol/m3) (mmol/m3)   (total)        ()        () (umol/hr) (umol/hr)
         5     1.101     0.083     0.011     0.007   -10.987  3792.695  1641.700    11.281    40.928    22.417 35451.802  5822.949
        10     1.213     0.091     0.024     0.014   -10.972  3604.846  1637.769    10.995    42.187    23.042 38754.299  6226.675
        15     1.337     0.101     0.038     0.022   -10.956  3434.704  1634.208    10.702    40.408    22.310 34141.005  5755.040
        20     1.474     0.111     0.054     0.031   -10.938  3280.602  1630.983    10.417    37.476    20.980 27347.606  4952.838
        25     1.624     0.122     0.071     0.040   -10.919  3141.027  1628.063    10.171    34.056    19.333 20616.169  4053.028
        30     1.791     0.135     0.089     0.051   -10.898  3014.609  1625.417     9.971    30.662    17.632 15106.345  3230.505
        35     1.975     0.149     0.110     0.063   -10.874  2900.109  1623.021     9.805    27.523    16.012 10958.450  2544.145
        40     2.178     0.164     0.133     0.076   -10.848  2796.403  1620.851     9.665    24.702    14.518  7935.757  1992.998
        45     2.402     0.181     0.158     0.090   -10.820  2702.473  1618.885     9.543    22.197    13.163  5759.510  1558.227
        50     2.650     0.199     0.185     0.105   -10.789  2617.397  1617.105     9.435    19.986    11.944  4198.229  1218.374
        55     2.923     0.220     0.216     0.122   -10.754  2540.342  1615.493     9.339    18.039    10.854  3077.568   954.005
        60     3.225     0.242     0.249     0.141   -10.717  2470.550  1614.032     9.252    16.327     9.881  2270.972   748.837
        65     3.558     0.266     0.286     0.161   -10.676  2407.338  1612.709     9.173    14.822     9.016  1688.016   589.717
        70     3.926     0.293     0.326     0.183   -10.631  2350.085  1611.511     9.100    13.498     8.247  1264.532   466.234
        75     4.332     0.323     0.370     0.207   -10.582  2298.229  1610.426     9.034    12.334     7.564   955.099   370.255
        80     4.780     0.355     0.419     0.233   -10.528  2251.261  1609.443     8.972    11.309     6.958   727.561     0.000
        85     5.275     0.391     0.472     0.261   -10.469  2208.721  1608.553     8.915    10.405     6.421   559.111     0.000
        90     5.822     0.430     0.530     0.292   -10.405  2170.191  1607.747     8.862     9.607     5.943   433.527     0.000
        95     6.425     0.472     0.594     0.325   -10.335  2135.294  1607.016     8.813     8.902     5.519   339.221     0.000
       100     7.092     0.518     0.663     0.360   -10.259  2103.686  1606.355     8.768     8.278     5.142   267.882     0.000
       105     7.827     0.569     0.738     0.399   -10.176  2075.058  1605.756     8.725     7.725     4.807   213.516     0.000
       110     8.640     0.624     0.820     0.440   -10.085  2049.128  1605.213     8.686     7.234     4.508   171.775     0.000
       115     9.536     0.683     0.910     0.484    -9.987  2025.643  1604.722     8.649     6.798     4.242   139.490     0.000
       120    10.527     0.747     1.007     0.531    -9.879  2004.372  1604.277     8.615     6.410     4.004   114.333     0.000
       125    11.620     0.817     1.111     0.581    -9.763  1985.106  1603.874     8.583     6.064     3.792    94.588     0.000
       130    12.827     0.892     1.225     0.633    -9.636  1967.656  1603.508     8.554     5.755     3.602    78.977     0.000
       135    14.159     0.972     1.346     0.689    -9.499  1951.851  1603.178     8.527     5.480     3.433    66.549     0.000
       140    15.631     1.059     1.476     0.747    -9.351  1937.536  1602.878     8.501     5.234     3.281    56.585     0.000
