****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00      1.00      0.00     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
         1     1.019     0.077     0.002     0.001   -10.997     0.000     1.019  1000.531    98.089     0.627     2.735     0.053     1.000
         2     1.039     0.078     0.005     0.003   -10.995     0.000     1.039  1001.027    96.213     1.243     2.839     0.053     1.000
         3     1.060     0.080     0.007     0.004   -10.992     0.000     1.060  1001.513    94.373     1.846     2.940     0.053     1.000
         4     1.080     0.081     0.009     0.005   -10.989     0.000     1.080  1001.988    92.566     2.437     3.039     0.053     1.000
         5     1.101     0.083     0.012     0.007   -10.987     0.000     1.101  1002.453    90.793     3.017     3.136     0.053     1.000
         6     1.123     0.085     0.014     0.008   -10.984     0.000     1.123  1002.908    89.053     3.585     3.232     0.053     1.000
         7     1.145     0.086     0.017     0.010   -10.981     0.000     1.145  1003.353    87.346     4.142     3.325     0.053     1.000
         8     1.167     0.088     0.019     0.011   -10.978     0.000     1.167  1003.789    85.670     4.688     3.417     0.053     1.000
         9     1.190     0.090     0.022     0.013   -10.975     0.001     1.190  1004.216    84.026     5.224     3.507     0.053     1.000
        10     1.213     0.092     0.025     0.014   -10.972     0.001     1.213  1004.634    82.413     5.749     3.595     0.053     1.000
        11     1.237     0.093     0.027     0.016   -10.968     0.001     1.237  1005.043    80.830     6.264     3.681     0.053     1.000
        12     1.261     0.095     0.030     0.017   -10.965     0.001     1.261  1005.444    79.277     6.768     3.766     0.053     1.000
        13     1.286     0.097     0.033     0.019   -10.962     0.001     1.286  1005.836    77.753     7.263     3.849     0.053     1.000
        14     1.311     0.099     0.036     0.021   -10.959     0.001     1.311  1006.220    76.257     7.748     3.930     0.053     1.000
