Farfield dispersion based on wastefield width of :      50.00 (m)
4/3 Power Law based Eddy Diffusivity is used:
------------------------------------------------------------------
The alpha value used for dispersion calculation:     0.0003
The ambient current in the farfield (m/s):     0.0500
******************************************************************
Simulation Results: 
------------------------------------------------------------------
      Conc  Dilution     Width  Distance      Time
  (kg/m^3)        ()       (m)       (m)    (hrs.)
     0.000   100.000    52.137     8.001     0.044
     0.000   100.004    54.303    16.001     0.089
     0.000   100.100    56.499    24.001     0.133
     0.000   100.495    58.724    32.001     0.178
     0.000   101.326    60.977    40.001     0.222
     0.000   102.609    63.258    48.001     0.267
     0.000   104.294    65.567    56.001     0.311
     0.000   106.319    67.903    64.001     0.356
     0.000   108.625    70.266    72.001     0.400
     0.000   111.163    72.657    80.001     0.444
     0.000   113.894    75.073    88.001     0.489
     0.000   116.786    77.516    96.001     0.533
     0.000   119.816    79.985   104.000     0.578
     0.000   122.965    82.480   112.000     0.622
     0.000   126.216    85.000   120.000     0.667
     0.000   129.559    87.545   128.000     0.711
     0.000   132.984    90.115   136.000     0.756
     0.000   136.483    92.709   144.000     0.800
     0.000   140.049    95.329   152.000     0.844
     0.000   143.678    97.972   160.000     0.889
     0.000   147.365   100.639   168.000     0.933
     0.000   151.106   103.330   176.000     0.978
     0.000   154.899   106.045   184.000     1.022
     0.000   158.740   108.783   192.000     1.067
     0.000   162.627   111.544   200.000     1.111
     0.000   166.559   114.328   208.000     1.156
     0.000   170.534   117.135   216.000     1.200
     0.000   174.550   119.965   224.000     1.244
