****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      5.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
         1     1.020     0.158     0.000     0.006    -5.006     1.000     0.020     9.999    34.925 98033.692  1026.916     1.020     0.032
         2     1.041     0.161     0.000     0.011    -5.012     1.000     0.020     9.997    34.852 96106.155  1026.860     1.041     0.064
         3     1.061     0.164     0.000     0.017    -5.017     1.000     0.020     9.996    34.781 94216.619  1026.804     1.061     0.097
         4     1.083     0.167     0.000     0.023    -5.023     1.000     0.020     9.994    34.711 92364.331  1026.750     1.083     0.130
         5     1.104     0.170     0.000     0.029    -5.029     1.000     0.020     9.993    34.642 90548.554  1026.696     1.104     0.165
         6     1.127     0.173     0.000     0.035    -5.035     1.000     0.020     9.992    34.574 88768.563  1026.644     1.127     0.201
         7     1.149     0.176     0.000     0.041    -5.041     1.000     0.020     9.990    34.508 87023.651  1026.593     1.149     0.239
         8     1.172     0.179     0.000     0.047    -5.048     1.000     0.020     9.989    34.443 85313.123  1026.542     1.172     0.277
         9     1.196     0.182     0.000     0.053    -5.054     1.000     0.020     9.987    34.380 83636.297  1026.493     1.196     0.317
        10     1.220     0.185     0.000     0.060    -5.061     1.000     0.020     9.986    34.317 81992.507  1026.445     1.220     0.359
        11     1.244     0.189     0.000     0.066    -5.068     1.000     0.020     9.984    34.256 80381.098  1026.397     1.244     0.401
        12     1.269     0.192     0.000     0.073    -5.074     1.000     0.020     9.983    34.196 78801.431  1026.351     1.269     0.446
        13     1.294     0.195     0.000     0.080    -5.081     1.000     0.020     9.982    34.138 77252.876  1026.305     1.294     0.491
        14     1.320     0.199     0.000     0.087    -5.089     1.000     0.020     9.980    34.080 75734.819  1026.260     1.320     0.538
        15     1.347     0.202     0.000     0.093    -5.096     1.000     0.020     9.979    34.023 74246.656  1026.217     1.347     0.587
        16     1.374     0.206     0.000     0.101    -5.103     1.000     0.020     9.977    33.968 72787.796  1026.174     1.374     0.637
        17     1.401     0.210     0.000     0.108    -5.111     1.000     0.020     9.976    33.914 71357.660  1026.132     1.401     0.689
        18     1.429     0.213     0.000     0.115    -5.119     1.000     0.020     9.974    33.861 69955.680  1026.091     1.429     0.743
        19     1.458     0.217     0.000     0.122    -5.126     1.000     0.020     9.973    33.808 68581.299  1026.050     1.458     0.799
        20     1.487     0.221     0.000     0.130    -5.134     1.000     0.020     9.972    33.757 67233.972  1026.010     1.487     0.856
        21     1.517     0.224     0.000     0.137    -5.143     1.000     0.020     9.970    33.707 65913.165  1025.972     1.517     0.915
        22     1.548     0.228     0.000     0.145    -5.151     1.000     0.020     9.969    33.658 64618.353  1025.934     1.548     0.976
        23     1.579     0.232     0.000     0.153    -5.160     1.000     0.020     9.967    33.610 63349.023  1025.896     1.579     1.039
        24     1.610     0.236     0.000     0.161    -5.168     1.000     0.020     9.966    33.563 62104.672  1025.860     1.610     1.104
        25     1.642     0.240     0.000     0.169    -5.177     1.000     0.020     9.964    33.516 60884.807  1025.824     1.642     1.170
        26     1.675     0.244     0.000     0.177    -5.186     1.000     0.020     9.963    33.471 59688.943  1025.789     1.675     1.239
        27     1.709     0.248     0.000     0.185    -5.195     1.000     0.020     9.961    33.426 58516.607  1025.754     1.709     1.311
        28     1.743     0.252     0.000     0.194    -5.205     1.000     0.020     9.960    33.383 57367.335  1025.721     1.743     1.384
        29     1.778     0.257     0.000     0.202    -5.214     1.000     0.020     9.958    33.340 56240.672  1025.688     1.778     1.459
        30     1.814     0.261     0.000     0.211    -5.224     1.000     0.020     9.956    33.298 55136.171  1025.655     1.814     1.537
        31     1.850     0.265     0.000     0.220    -5.234     1.000     0.020     9.955    33.257 54053.394  1025.623     1.850     1.617
        32     1.887     0.269     0.000     0.228    -5.244     1.000     0.020     9.953    33.216 52991.915  1025.592     1.887     1.700
        33     1.925     0.274     0.000     0.237    -5.255     1.000     0.020     9.952    33.177 51951.311  1025.562     1.925     1.785
        34     1.963     0.278     0.000     0.246    -5.265     1.000     0.020     9.950    33.138 50931.172  1025.532     1.963     1.872
        35     2.003     0.283     0.000     0.256    -5.276     1.001     0.020     9.948    33.100 49931.094  1025.502     2.003     1.962
        36     2.043     0.287     0.000     0.265    -5.287     1.021     0.020     9.947    33.063 48950.681  1025.474     2.043     2.054
        37     2.084     0.292     0.000     0.274    -5.298     1.042     0.020     9.945    33.026 47989.545  1025.445     2.084     2.149
        38     2.126     0.297     0.000     0.284    -5.309     1.063     0.020     9.943    32.991 47047.307  1025.418     2.126     2.246
        39     2.168     0.301     0.000     0.293    -5.321     1.084     0.020     9.942    32.955 46123.594  1025.391     2.168     2.346
        40     2.212     0.306     0.000     0.303    -5.333     1.106     0.020     9.940    32.921 45218.040  1025.364     2.212     2.449
