****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      1.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
         1     1.020     0.158     0.000     0.006    -1.006     1.000     0.020    10.018    34.922 98033.077  1026.910     1.020     0.032
         2     1.041     0.161     0.000     0.011    -1.012     1.000     0.020    10.036    34.845 96104.960  1026.847     1.041     0.064
         3     1.061     0.164     0.000     0.017    -1.017     1.000     0.020    10.054    34.769 94214.880  1026.785     1.061     0.097
         4     1.083     0.166     0.000     0.023    -1.023     1.000     0.020    10.071    34.695 92362.083  1026.725     1.083     0.130
         5     1.104     0.169     0.000     0.029    -1.029     1.000     0.020    10.088    34.623 90545.828  1026.665     1.104     0.165
         6     1.127     0.173     0.000     0.035    -1.035     1.000     0.020    10.104    34.552 88765.391  1026.607     1.127     0.201
         7     1.149     0.176     0.000     0.041    -1.042     1.000     0.020    10.120    34.482 87020.062  1026.550     1.149     0.239
         8     1.172     0.179     0.000     0.047    -1.048     1.000     0.020    10.136    34.414 85309.144  1026.494     1.172     0.277
