****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.28     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
         1     1.020     0.221     0.000     0.008    -2.009     1.000     0.020    10.013    34.924 98033.309  1026.912     1.020     0.090
         2     1.032     0.223     0.000     0.013    -2.014     1.000     0.020    10.021    34.878 96865.668  1026.876     1.032     0.143
         3     1.045     0.224     0.000     0.018    -2.019     1.000     0.020    10.029    34.831 95657.852  1026.838     1.045     0.197
         4     1.059     0.226     0.000     0.023    -2.024     1.000     0.020    10.037    34.784 94450.435  1026.800     1.059     0.252
         5     1.072     0.228     0.000     0.028    -2.030     1.000     0.020    10.045    34.737 93243.246  1026.762     1.072     0.309
         6     1.087     0.229     0.000     0.033    -2.035     1.000     0.020    10.053    34.690 92036.110  1026.724     1.087     0.367
         7     1.101     0.231     0.000     0.038    -2.041     1.000     0.020    10.061    34.643 90828.948  1026.686     1.101     0.426
         8     1.116     0.233     0.000     0.044    -2.047     1.000     0.020    10.069    34.597 89621.579  1026.648     1.116     0.487
         9     1.131     0.235     0.000     0.049    -2.053     1.000     0.020    10.076    34.550 88413.833  1026.610     1.131     0.549
        10     1.147     0.237     0.000     0.054    -2.059     1.000     0.020    10.084    34.503 87205.536  1026.572     1.147     0.612
        11     1.163     0.239     0.000     0.060    -2.065     1.000     0.020    10.092    34.456 85996.520  1026.534     1.163     0.677
        12     1.179     0.241     0.000     0.065    -2.072     1.000     0.020    10.100    34.409 84786.622  1026.496     1.179     0.743
        13     1.197     0.243     0.000     0.071    -2.079     1.000     0.020    10.108    34.362 83575.679  1026.458     1.197     0.811
        14     1.214     0.245     0.000     0.076    -2.086     1.000     0.020    10.116    34.315 82363.537  1026.420     1.214     0.881
        15     1.232     0.247     0.000     0.082    -2.093     1.000     0.020    10.123    34.267 81150.042  1026.382     1.232     0.952
        16     1.251     0.250     0.000     0.088    -2.100     1.000     0.020    10.131    34.220 79935.043  1026.344     1.251     1.026
        17     1.270     0.252     0.000     0.094    -2.108     1.000     0.020    10.139    34.173 78718.395  1026.306     1.270     1.101
        18     1.290     0.254     0.000     0.100    -2.115     1.000     0.020    10.147    34.126 77499.952  1026.268     1.290     1.179
        19     1.311     0.257     0.000     0.106    -2.123     1.000     0.020    10.154    34.078 76279.573  1026.230     1.311     1.258
        20     1.332     0.259     0.000     0.112    -2.132     1.000     0.020    10.162    34.031 75057.119  1026.191     1.332     1.340
        21     1.354     0.261     0.000     0.119    -2.140     1.000     0.020    10.170    33.983 73832.453  1026.153     1.354     1.424
        22     1.377     0.264     0.000     0.125    -2.149     1.000     0.020    10.177    33.936 72605.438  1026.115     1.377     1.511
        23     1.401     0.267     0.000     0.131    -2.158     1.000     0.020    10.185    33.888 71375.942  1026.076     1.401     1.600
        24     1.426     0.269     0.000     0.138    -2.167     1.000     0.020    10.193    33.840 70143.830  1026.038     1.426     1.692
        25     1.451     0.272     0.000     0.145    -2.177     1.000     0.020    10.200    33.792 68908.971  1025.999     1.451     1.787
        26     1.478     0.275     0.000     0.152    -2.187     1.000     0.020    10.208    33.744 67671.234  1025.960     1.478     1.885
        27     1.505     0.278     0.000     0.159    -2.197     1.000     0.020    10.215    33.696 66430.486  1025.922     1.505     1.986
        28     1.534     0.281     0.000     0.166    -2.208     1.000     0.020    10.223    33.648 65186.595  1025.883     1.534     2.090
        29     1.564     0.284     0.000     0.173    -2.219     1.000     0.020    10.230    33.600 63939.429  1025.844     1.564     2.199
        30     1.595     0.288     0.000     0.181    -2.231     1.000     0.020    10.238    33.552 62688.853  1025.805     1.595     2.311
        31     1.627     0.291     0.000     0.188    -2.242     1.000     0.020    10.245    33.504 61457.364  1025.767     1.627     2.425
        32     1.660     0.295     0.000     0.196    -2.254     1.000     0.020    10.252    33.457 60250.112  1025.729     1.660     2.540
        33     1.693     0.298     0.000     0.203    -2.266     1.000     0.020    10.259    33.412 59066.619  1025.692     1.693     2.657
        34     1.727     0.302     0.000     0.210    -2.278     1.000     0.020    10.266    33.367 57906.416  1025.656     1.727     2.775
        35     1.762     0.305     0.000     0.218    -2.291     1.000     0.020    10.272    33.323 56769.043  1025.621     1.762     2.895
        36     1.797     0.309     0.000     0.225    -2.303     1.000     0.020    10.278    33.280 55654.049  1025.587     1.797     3.017
        37     1.833     0.312     0.000     0.233    -2.316     1.000     0.020    10.284    33.238 54560.991  1025.553     1.833     3.140
        38     1.870     0.316     0.000     0.240    -2.329     1.000     0.020    10.290    33.196 53489.438  1025.520     1.870     3.265
        39     1.907     0.320     0.000     0.248    -2.342     1.000     0.020    10.296    33.156 52438.965  1025.487     1.907     3.391
        40     1.945     0.324     0.000     0.255    -2.355     1.000     0.020    10.302    33.116 51409.155  1025.455     1.945     3.519
        41     1.984     0.327     0.000     0.263    -2.368     1.000     0.020    10.307    33.077 50399.601  1025.424     1.984     3.648
        42     2.024     0.331     0.000     0.270    -2.381     1.012     0.020    10.312    33.039 49409.904  1025.394     2.024     3.780
        43     2.064     0.335     0.000     0.277    -2.395     1.032     0.020    10.317    33.002 48439.671  1025.364     2.064     3.913
        44     2.106     0.339     0.000     0.285    -2.409     1.053     0.020    10.322    32.965 47488.518  1025.334     2.106     4.048
        45     2.148     0.343     0.000     0.292    -2.423     1.074     0.020    10.327    32.930 46556.070  1025.306     2.148     4.184
