****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.40     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.40      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
         1     1.010     0.314     0.000     0.010    -2.411     1.000     0.020    10.005    34.964 99053.831  1026.945     1.010     0.218
         2     1.012     0.305     0.000     0.011    -2.413     1.000     0.020    10.006    34.956 98854.429  1026.939     1.012     0.242
         3     1.014     0.304     0.000     0.012    -2.414     1.000     0.020    10.008    34.947 98611.165  1026.931     1.014     0.269
         4     1.017     0.304     0.000     0.014    -2.416     1.000     0.020    10.009    34.937 98351.837  1026.923     1.017     0.296
         5     1.020     0.303     0.000     0.015    -2.417     1.000     0.020    10.011    34.926 98076.745  1026.915     1.020     0.325
         6     1.023     0.302     0.000     0.016    -2.419     1.000     0.020    10.012    34.915 97784.784  1026.906     1.023     0.354
         7     1.026     0.302     0.000     0.018    -2.420     1.000     0.020    10.014    34.903 97475.177  1026.896     1.026     0.383
         8     1.029     0.301     0.000     0.019    -2.422     1.000     0.020    10.016    34.891 97156.330  1026.886     1.029     0.413
         9     1.033     0.301     0.000     0.020    -2.424     1.000     0.020    10.018    34.878 96828.778  1026.876     1.033     0.444
        10     1.036     0.300     0.000     0.022    -2.426     1.000     0.020    10.019    34.865 96492.197  1026.866     1.036     0.476
        11     1.040     0.300     0.000     0.023    -2.428     1.000     0.020    10.021    34.852 96146.258  1026.855     1.040     0.508
        12     1.044     0.299     0.000     0.025    -2.430     1.000     0.020    10.023    34.838 95790.613  1026.844     1.044     0.541
        13     1.048     0.299     0.000     0.026    -2.432     1.000     0.020    10.025    34.824 95424.902  1026.833     1.048     0.575
        14     1.052     0.299     0.000     0.028    -2.434     1.000     0.020    10.027    34.810 95048.746  1026.821     1.052     0.610
        15     1.056     0.298     0.000     0.029    -2.436     1.000     0.020    10.030    34.795 94661.749  1026.809     1.056     0.645
        16     1.061     0.298     0.000     0.031    -2.438     1.000     0.020    10.032    34.779 94263.494  1026.797     1.061     0.681
        17     1.065     0.297     0.000     0.033    -2.440     1.000     0.020    10.034    34.764 93853.549  1026.784     1.065     0.718
        18     1.070     0.297     0.000     0.034    -2.443     1.000     0.020    10.036    34.747 93431.456  1026.771     1.070     0.756
        19     1.075     0.296     0.000     0.036    -2.445     1.000     0.020    10.039    34.731 92996.738  1026.758     1.075     0.796
        20     1.081     0.296     0.000     0.038    -2.448     1.000     0.020    10.041    34.713 92548.895  1026.744     1.081     0.836
        21     1.086     0.296     0.000     0.040    -2.451     1.000     0.020    10.044    34.696 92087.400  1026.730     1.086     0.877
        22     1.092     0.295     0.000     0.041    -2.454     1.000     0.020    10.046    34.677 91611.701  1026.715     1.092     0.919
        23     1.097     0.295     0.000     0.043    -2.457     1.000     0.020    10.049    34.658 91121.220  1026.700     1.097     0.962
        24     1.104     0.295     0.000     0.045    -2.460     1.000     0.020    10.052    34.639 90615.349  1026.684     1.104     1.007
        25     1.110     0.294     0.000     0.047    -2.463     1.000     0.020    10.055    34.619 90093.447  1026.668     1.110     1.053
        26     1.117     0.294     0.000     0.049    -2.466     1.000     0.020    10.057    34.598 89554.842  1026.651     1.117     1.100
        27     1.124     0.294     0.000     0.051    -2.470     1.000     0.020    10.060    34.577 88998.829  1026.634     1.124     1.149
        28     1.131     0.294     0.000     0.054    -2.473     1.000     0.020    10.064    34.555 88424.663  1026.616     1.131     1.199
        29     1.139     0.294     0.000     0.056    -2.477     1.000     0.020    10.067    34.532 87831.563  1026.598     1.139     1.251
        30     1.147     0.294     0.000     0.058    -2.481     1.000     0.020    10.070    34.508 87218.703  1026.579     1.147     1.305
        31     1.155     0.293     0.000     0.061    -2.485     1.000     0.020    10.073    34.484 86585.216  1026.560     1.155     1.360
        32     1.164     0.293     0.000     0.063    -2.489     1.000     0.020    10.077    34.459 85930.187  1026.539     1.164     1.417
        33     1.173     0.293     0.000     0.065    -2.494     1.000     0.020    10.081    34.433 85252.653  1026.518     1.173     1.476
        34     1.183     0.293     0.000     0.068    -2.499     1.000     0.020    10.084    34.406 84551.594  1026.497     1.183     1.537
        35     1.193     0.294     0.000     0.071    -2.504     1.000     0.020    10.088    34.378 83824.585  1026.474     1.193     1.601
        36     1.204     0.294     0.000     0.073    -2.509     1.000     0.020    10.092    34.349 83069.933  1026.451     1.204     1.667
        37     1.215     0.294     0.000     0.076    -2.514     1.000     0.020    10.096    34.319 82286.264  1026.427     1.215     1.735
        38     1.227     0.294     0.000     0.079    -2.520     1.000     0.020    10.101    34.288 81472.255  1026.402     1.227     1.807
        39     1.240     0.295     0.000     0.082    -2.526     1.000     0.020    10.105    34.255 80626.530  1026.376     1.240     1.881
        40     1.254     0.295     0.000     0.085    -2.533     1.000     0.020    10.110    34.221 79747.640  1026.349     1.254     1.958
        41     1.268     0.296     0.000     0.089    -2.540     1.000     0.020    10.114    34.186 78834.051  1026.321     1.268     2.039
        42     1.284     0.296     0.000     0.092    -2.547     1.000     0.020    10.119    34.150 77884.141  1026.291     1.284     2.124
        43     1.300     0.297     0.000     0.096    -2.554     1.000     0.020    10.124    34.112 76896.193  1026.261     1.300     2.212
        44     1.318     0.298     0.000     0.099    -2.562     1.000     0.020    10.130    34.073 75868.385  1026.229     1.318     2.305
        45     1.337     0.299     0.000     0.103    -2.571     1.000     0.020    10.135    34.032 74798.783  1026.196     1.337     2.402
        46     1.357     0.300     0.000     0.107    -2.580     1.000     0.020    10.141    33.989 73685.335  1026.162     1.357     2.505
