****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
         1     1.020     0.158     0.000     0.006    -2.006     1.000     0.020    10.013    34.924 98033.309  1026.912     1.020     0.032
         2     1.041     0.161     0.000     0.011    -2.012     1.000     0.020    10.026    34.849 96105.410  1026.852     1.041     0.064
         3     1.061     0.164     0.000     0.017    -2.017     1.000     0.020    10.038    34.775 94215.535  1026.792     1.061     0.097
         4     1.083     0.167     0.000     0.023    -2.023     1.000     0.020    10.051    34.703 92362.931  1026.734     1.083     0.130
         5     1.104     0.170     0.000     0.029    -2.029     1.000     0.020    10.063    34.632 90546.857  1026.677     1.104     0.165
         6     1.127     0.173     0.000     0.035    -2.035     1.000     0.020    10.074    34.563 88766.590  1026.621     1.127     0.201
