****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.50     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.00      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
         1     1.003     0.391     0.000     0.010    -2.022     1.000     0.020    10.002    44.957 99684.061  1034.775     1.003     0.339
         2     1.003     0.300     0.000     0.010    -2.022     1.000     0.020    10.002    44.954 99665.933  1034.773     1.003     0.346
         3     1.004     0.299     0.000     0.011    -2.023     1.000     0.020    10.003    44.946 99608.055  1034.766     1.004     0.357
         4     1.005     0.297     0.000     0.011    -2.024     1.000     0.020    10.003    44.937 99543.673  1034.759     1.005     0.370
         5     1.005     0.294     0.000     0.011    -2.025     1.000     0.020    10.003    44.927 99472.158  1034.751     1.005     0.382
         6     1.006     0.292     0.000     0.012    -2.026     1.000     0.020    10.004    44.916 99392.549  1034.743     1.006     0.395
         7     1.007     0.290     0.000     0.012    -2.027     1.000     0.020    10.005    44.904 99303.731  1034.733     1.007     0.409
         8     1.008     0.288     0.000     0.012    -2.028     1.000     0.020    10.005    44.891 99204.403  1034.722     1.008     0.423
         9     1.009     0.286     0.000     0.013    -2.029     1.000     0.020    10.006    44.875 99093.044  1034.710     1.009     0.437
        10     1.010     0.284     0.000     0.013    -2.030     1.000     0.020    10.007    44.858 98967.867  1034.696     1.010     0.452
        11     1.012     0.281     0.000     0.014    -2.031     1.000     0.020    10.008    44.839 98826.761  1034.681     1.012     0.468
        12     1.014     0.279     0.000     0.014    -2.032     1.000     0.020    10.009    44.817 98667.224  1034.663     1.014     0.484
        13     1.015     0.277     0.000     0.015    -2.034     1.000     0.020    10.010    44.792 98486.270  1034.643     1.015     0.501
        14     1.017     0.275     0.000     0.015    -2.035     1.000     0.020    10.011    44.763 98280.319  1034.621     1.017     0.519
        15     1.020     0.273     0.000     0.016    -2.037     1.000     0.020    10.013    44.731 98045.043  1034.595     1.020     0.538
        16     1.023     0.271     0.000     0.016    -2.038     1.000     0.020    10.015    44.694 97775.172  1034.565     1.023     0.557
        17     1.026     0.269     0.000     0.017    -2.040     1.000     0.020    10.017    44.651 97464.239  1034.531     1.026     0.577
        18     1.030     0.267     0.000     0.018    -2.042     1.000     0.020    10.019    44.604 97122.749  1034.494     1.030     0.599
        19     1.034     0.265     0.000     0.018    -2.044     1.000     0.020    10.021    44.554 96757.932  1034.454     1.034     0.622
        20     1.038     0.263     0.000     0.019    -2.046     1.000     0.020    10.024    44.500 96368.517  1034.411     1.038     0.645
        21     1.042     0.261     0.000     0.020    -2.049     1.000     0.020    10.026    44.443 95952.204  1034.366     1.042     0.670
        22     1.047     0.259     0.000     0.020    -2.051     1.000     0.020    10.029    44.382 95506.433  1034.317     1.047     0.696
        23     1.052     0.257     0.000     0.021    -2.054     1.000     0.020    10.032    44.316 95028.333  1034.264     1.052     0.724
        24     1.058     0.255     0.000     0.022    -2.057     1.000     0.020    10.036    44.245 94514.676  1034.208     1.058     0.753
        25     1.064     0.253     0.000     0.023    -2.060     1.000     0.020    10.039    44.169 93961.821  1034.148     1.064     0.784
        26     1.071     0.251     0.000     0.024    -2.064     1.000     0.020    10.043    44.087 93365.650  1034.082     1.071     0.817
        27     1.078     0.249     0.000     0.025    -2.068     1.000     0.020    10.047    43.999 92721.496  1034.012     1.078     0.852
        28     1.087     0.247     0.000     0.026    -2.072     1.000     0.020    10.052    43.903 92024.046  1033.935     1.087     0.889
        29     1.096     0.245     0.000     0.027    -2.076     1.000     0.020    10.057    43.798 91267.241  1033.852     1.096     0.929
        30     1.106     0.243     0.000     0.028    -2.081     1.000     0.020    10.062    43.685 90444.139  1033.762     1.106     0.971
        31     1.117     0.242     0.000     0.030    -2.087     1.000     0.020    10.068    43.561 89546.767  1033.664     1.117     1.017
        32     1.129     0.240     0.000     0.031    -2.093     1.000     0.020    10.074    43.426 88565.925  1033.557     1.129     1.066
        33     1.143     0.239     0.000     0.033    -2.100     1.000     0.020    10.081    43.278 87490.962  1033.439     1.143     1.119
        34     1.159     0.237     0.000     0.034    -2.108     1.000     0.020    10.088    43.115 86309.496  1033.309     1.159     1.177
        35     1.176     0.236     0.000     0.036    -2.116     1.000     0.020    10.096    42.936 85007.063  1033.167     1.176     1.240
        36     1.197     0.235     0.000     0.038    -2.126     1.000     0.020    10.106    42.737 83566.696  1033.009     1.197     1.309
        37     1.220     0.234     0.000     0.040    -2.136     1.000     0.020    10.116    42.517 81968.382  1032.834     1.220     1.385
        38     1.245     0.234     0.000     0.042    -2.148     1.000     0.020    10.126    42.293 80347.350  1032.657     1.245     1.462
        39     1.270     0.233     0.000     0.044    -2.159     1.000     0.020    10.136    42.074 78758.645  1032.483     1.270     1.538
        40     1.295     0.233     0.000     0.046    -2.170     1.000     0.020    10.145    41.859 77201.613  1032.312     1.295     1.612
        41     1.321     0.233     0.000     0.048    -2.182     1.000     0.020    10.155    41.648 75675.610  1032.145     1.321     1.685
        42     1.348     0.233     0.000     0.050    -2.193     1.000     0.020    10.164    41.442 74180.011  1031.982     1.348     1.757
        43     1.375     0.234     0.000     0.052    -2.205     1.000     0.020    10.173    41.239 72714.198  1031.821     1.375     1.829
        44     1.403     0.234     0.000     0.054    -2.216     1.000     0.020    10.181    41.041 71277.571  1031.664     1.403     1.900
        45     1.431     0.235     0.000     0.056    -2.228     1.000     0.020    10.190    40.846 69869.539  1031.510     1.431     1.970
        46     1.460     0.236     0.000     0.058    -2.239     1.000     0.020    10.198    40.656 68489.524  1031.359     1.460     2.040
        47     1.489     0.237     0.000     0.060    -2.251     1.000     0.020    10.206    40.469 67136.963  1031.211     1.489     2.109
        48     1.519     0.239     0.000     0.061    -2.263     1.000     0.020    10.214    40.286 65811.300  1031.066     1.519     2.179
        49     1.550     0.240     0.000     0.063    -2.274     1.000     0.020    10.221    40.106 64511.994  1030.924     1.550     2.248
        50     1.581     0.242     0.000     0.065    -2.286     1.000     0.020    10.229    39.930 63238.513  1030.785     1.581     2.317
        51     1.613     0.243     0.000     0.067    -2.298     1.000     0.020    10.236    39.757 61990.337  1030.648     1.613     2.387
        52     1.646     0.245     0.000     0.069    -2.310     1.000     0.020    10.243    39.588 60766.957  1030.515     1.646     2.456
        53     1.679     0.247     0.000     0.070    -2.323     1.000     0.020    10.250    39.422 59567.875  1030.384     1.679     2.526
        54     1.713     0.248     0.000     0.072    -2.335     1.000     0.020    10.256    39.260 58392.601  1030.255     1.713     2.595
        55     1.747     0.250     0.000     0.074    -2.347     1.000     0.020    10.263    39.100 57240.658  1030.130     1.747     2.665
        56     1.782     0.252     0.000     0.076    -2.360     1.000     0.020    10.269    38.944 56111.575  1030.006     1.782     2.736
        57     1.818     0.254     0.000     0.078    -2.372     1.000     0.020    10.275    38.791 55004.896  1029.886     1.818     2.806
        58     1.855     0.257     0.000     0.079    -2.385     1.000     0.020    10.281    38.641 53920.169  1029.767     1.855     2.877
        59     1.892     0.259     0.000     0.081    -2.398     1.000     0.020    10.286    38.494 52856.954  1029.651     1.892     2.949
        60     1.930     0.261     0.000     0.083    -2.410     1.000     0.020    10.292    38.350 51814.821  1029.537     1.930     3.021
        61     1.969     0.263     0.000     0.085    -2.423     1.000     0.020    10.297    38.208 50793.347  1029.426     1.969     3.093
        62     2.008     0.266     0.000     0.087    -2.436     1.004     0.020    10.302    38.070 49792.117  1029.317     2.008     3.166
        63     2.049     0.268     0.000     0.088    -2.450     1.024     0.020    10.307    37.934 48810.727  1029.210     2.049     3.240
        64     2.090     0.271     0.000     0.090    -2.463     1.045     0.020    10.312    37.801 47848.778  1029.105     2.090     3.314
        65     2.132     0.273     0.000     0.092    -2.477     1.066     0.020    10.316    37.670 46905.883  1029.002     2.132     3.389
        66     2.175     0.276     0.000     0.094    -2.490     1.087     0.020    10.321    37.542 45981.660  1028.902     2.175     3.464
        67     2.218     0.279     0.000     0.096    -2.504     1.109     0.020    10.325    37.417 45075.736  1028.803     2.218     3.541
        68     2.263     0.282     0.000     0.098    -2.518     1.132     0.020    10.329    37.294 44187.745  1028.706     2.263     3.618
        69     2.309     0.284     0.000     0.099    -2.532     1.154     0.020    10.333    37.174 43317.329  1028.611     2.309     3.695
        70     2.355     0.287     0.000     0.101    -2.546     1.177     0.020    10.337    37.055 42464.137  1028.519     2.355     3.774
        71     2.402     0.290     0.000     0.103    -2.560     1.201     0.020    10.341    36.940 41627.824  1028.428     2.402     3.853
        72     2.450     0.293     0.000     0.105    -2.575     1.225     0.020    10.344    36.826 40808.055  1028.338     2.450     3.933
        73     2.500     0.296     0.000     0.107    -2.589     1.250     0.020    10.348    36.715 40004.498  1028.251     2.500     4.015
        74     2.550     0.299     0.000     0.109    -2.604     1.275     0.020    10.351    36.606 39216.832  1028.166     2.550     4.096
        75     2.601     0.302     0.000     0.111    -2.619     1.301     0.020    10.354    36.499 38444.738  1028.082     2.601     4.179
        76     2.653     0.306     0.000     0.113    -2.634     1.327     0.020    10.357    36.395 37687.907  1027.999     2.653     4.263
        77     2.707     0.309     0.000     0.115    -2.649     1.353     0.020    10.360    36.292 36946.034  1027.919     2.707     4.348
        78     2.761     0.312     0.000     0.117    -2.664     1.380     0.020    10.362    36.191 36218.822  1027.840     2.761     4.434
        79     2.816     0.316     0.000     0.119    -2.680     1.408     0.020    10.365    36.093 35505.978  1027.763     2.816     4.521
        80     2.873     0.319     0.000     0.121    -2.695     1.436     0.020    10.367    35.996 34807.217  1027.687     2.873     4.609
        81     2.931     0.323     0.000     0.123    -2.711     1.465     0.020    10.370    35.902 34122.258  1027.613     2.931     4.698
        82     2.989     0.326     0.000     0.125    -2.727     1.495     0.020    10.372    35.809 33450.827  1027.540     2.989     4.788
        83     3.049     0.330     0.000     0.127    -2.743     1.525     0.020    10.374    35.718 32792.654  1027.469     3.049     4.879
        84     3.111     0.333     0.000     0.130    -2.760     1.555     0.020    10.376    35.629 32147.477  1027.399     3.111     4.972
        85     3.173     0.337     0.000     0.132    -2.776     1.587     0.020    10.378    35.541 31515.036  1027.331     3.173     5.066
        86     3.237     0.341     0.000     0.134    -2.793     1.618     0.020    10.379    35.456 30895.079  1027.264     3.237     5.161
        87     3.302     0.345     0.000     0.136    -2.810     1.651     0.020    10.381    35.372 30287.357  1027.198     3.302     5.257
        88     3.368     0.348     0.000     0.138    -2.827     1.684     0.020    10.383    35.290 29691.629  1027.134     3.368     5.354
        89     3.436     0.352     0.000     0.141    -2.844     1.718     0.020    10.384    35.209 29107.654  1027.071     3.436     5.453
        90     3.504     0.356     0.000     0.143    -2.861     1.752     0.020    10.385    35.130 28535.201  1027.009     3.504     5.553
        91     3.575     0.360     0.000     0.145    -2.879     1.787     0.020    10.386    35.053 27974.040  1026.948     3.575     5.655
        92     3.646     0.364     0.000     0.147    -2.897     1.823     0.020    10.387    34.977 27423.947  1026.889     3.646     5.758
        93     3.720     0.369     0.000     0.150    -2.914     1.860     0.020    10.388    34.903 26884.704  1026.831     3.720     5.862
        94     3.794     0.373     0.000     0.152    -2.933     1.897     0.020    10.389    34.830 26356.093  1026.774     3.794     5.968
        95     3.870     0.377     0.000     0.155    -2.951     1.935     0.020    10.390    34.759 25837.906  1026.719     3.870     6.075
        96     3.948     0.381     0.000     0.157    -2.970     1.974     0.020    10.390    34.689 25329.935  1026.664     3.948     6.183
        97     4.027     0.386     0.000     0.160    -2.988     2.014     0.020    10.391    34.620 24831.977  1026.611     4.027     6.294
        98     4.108     0.390     0.000     0.162    -3.007     2.054     0.020    10.391    34.553 24343.835  1026.558     4.108     6.405
        99     4.190     0.395     0.000     0.165    -3.026     2.095     0.020    10.391    34.487 23865.313  1026.507     4.190     6.519
       100     4.274     0.399     0.000     0.167    -3.046     2.137     0.020    10.391    34.423 23396.221  1026.457     4.274     6.634
       101     4.360     0.404     0.000     0.170    -3.065     2.180     0.020    10.391    34.360 22936.372  1026.408     4.360     6.750
       102     4.447     0.409     0.000     0.172    -3.085     2.224     0.020    10.391    34.298 22485.583  1026.359     4.447     6.869
       103     4.536     0.414     0.000     0.175    -3.105     2.268     0.020    10.391    34.237 22043.674  1026.312     4.536     6.989
