****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth        TA       DIC        pH    OmegaC    OmegaA     R_cal     R_arg
      Step (FluxAvg)       (m)       (m)       (m)       (m) (mmol/m3) (mmol/m3)   (total)        ()        () (umol/hr) (umol/hr)
         1     1.019     0.077     0.002     0.001   -10.997  3956.958  1011.788    11.995    15.243     8.808  1839.827   554.813
         2     1.039     0.078     0.004     0.003   -10.995  3914.664  1023.322    11.929    20.761    11.690  4709.179  1153.436
         3     1.060     0.080     0.007     0.004   -10.992  3873.200  1034.629    11.875    23.767    13.195  7070.386  1567.701
         4     1.080     0.081     0.009     0.005   -10.990  3832.549  1045.715    11.826    25.634    14.111  8864.366  1856.062
         5     1.101     0.083     0.011     0.007   -10.987  3792.695  1056.583    11.782    26.884    14.725 10218.310  2064.782
         6     1.123     0.085     0.014     0.008   -10.984  3753.623  1067.239    11.740    27.768    15.166 11252.401  2222.530
         7     1.145     0.086     0.016     0.009   -10.981  3715.317  1077.685    11.700    28.420    15.500 12056.390  2346.859
         8     1.167     0.088     0.019     0.011   -10.978  3677.761  1087.926    11.661    28.917    15.767 12693.888  2448.726
         9     1.190     0.090     0.022     0.012   -10.975  3640.943  1097.967    11.623    29.307    15.989 13209.536  2535.142
        10     1.213     0.091     0.024     0.014   -10.972  3604.846  1107.811    11.586    29.621    16.179 13634.780  2610.695
        11     1.237     0.093     0.027     0.015   -10.969  3569.456  1117.462    11.550    29.880    16.347 13991.939  2678.438
        12     1.261     0.095     0.030     0.017   -10.966  3534.761  1126.923    11.514    30.098    16.498 14296.997  2740.435
        13     1.286     0.097     0.032     0.019   -10.963  3500.746  1136.199    11.478    30.284    16.637 14561.478  2798.091
        14     1.311     0.099     0.035     0.020   -10.959  3467.398  1145.293    11.443    30.446    16.767 14793.733  2852.364
        15     1.337     0.101     0.038     0.022   -10.956  3434.704  1154.209    11.407    30.588    16.888 14999.818  2903.901
        16     1.363     0.103     0.041     0.024   -10.953  3402.651  1162.950    11.372    30.715    17.003 15184.106  2953.128
        17     1.390     0.105     0.044     0.025   -10.949  3371.227  1171.520    11.336    30.827    17.113 15349.709  3000.308
        18     1.417     0.107     0.047     0.027   -10.946  3340.418  1179.921    11.300    30.928    17.216 15498.776  3045.584
        19     1.445     0.109     0.050     0.029   -10.942  3310.214  1188.158    11.264    31.018    17.315 15632.706  3089.006
        20     1.474     0.111     0.054     0.031   -10.938  3280.602  1196.233    11.227    31.097    17.409 15752.287  3130.545
        21     1.503     0.113     0.057     0.033   -10.935  3251.571  1204.150    11.190    31.168    17.498 15857.802  3170.107
        22     1.532     0.116     0.060     0.035   -10.931  3223.108  1211.912    11.152    31.228    17.581 15949.087  3207.538
        23     1.562     0.118     0.064     0.036   -10.927  3195.204  1219.522    11.113    31.278    17.659 16025.575  3242.628
        24     1.593     0.120     0.067     0.038   -10.923  3167.847  1226.982    11.074    31.318    17.730 16086.306  3275.106
        25     1.624     0.122     0.071     0.040   -10.919  3141.027  1234.296    11.033    31.347    17.795 16129.934  3304.641
        26     1.656     0.125     0.074     0.043   -10.915  3114.732  1241.467    10.992    31.363    17.852 16154.711  3330.835
        27     1.689     0.127     0.078     0.045   -10.911  3088.953  1248.497    10.949    31.366    17.900 16158.472  3353.215
        28     1.722     0.130     0.082     0.047   -10.906  3063.680  1255.389    10.905    31.353    17.939 16138.610  3371.229
