****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.40      0.01     25.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
         1     1.020     0.158     0.000     0.006    -2.406     0.032     1.020  1019.291 98048.043    25.120    10.011     0.020     1.000
         2     1.040     0.161     0.000     0.011    -2.411     0.064     1.040  1019.381 96134.016    25.238    10.022     0.020     1.000
         3     1.061     0.165     0.000     0.017    -2.417     0.097     1.061  1019.469 94257.191    25.354    10.032     0.020     1.000
         4     1.082     0.168     0.000     0.023    -2.423     0.131     1.082  1019.556 92416.850    25.468    10.043     0.020     1.000
         5     1.104     0.172     0.000     0.029    -2.428     0.167     1.104  1019.641 90612.291    25.579    10.053     0.020     1.000
         6     1.126     0.175     0.000     0.035    -2.434     0.204     1.126  1019.724 88842.823    25.688    10.062     0.020     1.000
         7     1.148     0.179     0.000     0.042    -2.440     0.243     1.148  1019.805 87107.771    25.795    10.072     0.020     1.000
         8     1.171     0.183     0.000     0.048    -2.446     0.284     1.171  1019.885 85406.469    25.900    10.081     0.020     1.000
         9     1.194     0.187     0.000     0.055    -2.452     0.327     1.194  1019.964 83738.268    26.003    10.091     0.020     1.000
        10     1.217     0.191     0.000     0.062    -2.458     0.370     1.217  1020.039 82136.427    26.101    10.099     0.020     1.000
        11     1.240     0.195     0.000     0.068    -2.464     0.414     1.240  1020.109 80634.559    26.194    10.108     0.020     1.000
        12     1.262     0.199     0.000     0.075    -2.469     0.457     1.262  1020.176 79222.649    26.281    10.115     0.020     1.000
        13     1.284     0.203     0.000     0.081    -2.475     0.501     1.284  1020.238 77894.124    26.363    10.122     0.020     1.000
        14     1.305     0.207     0.000     0.088    -2.480     0.544     1.305  1020.297 76641.316    26.440    10.129     0.020     1.000
        15     1.325     0.210     0.000     0.094    -2.485     0.586     1.325  1020.353 75457.751    26.513    10.136     0.020     1.000
        16     1.345     0.214     0.000     0.100    -2.490     0.629     1.345  1020.405 74337.597    26.582    10.142     0.020     1.000
        17     1.365     0.218     0.000     0.106    -2.495     0.672     1.365  1020.455 73275.686    26.647    10.147     0.020     1.000
        18     1.384     0.221     0.000     0.112    -2.500     0.714     1.384  1020.503 72267.396    26.710    10.153     0.020     1.000
        19     1.402     0.225     0.000     0.117    -2.504     0.756     1.402  1020.548 71308.584    26.769    10.158     0.020     1.000
        20     1.421     0.228     0.000     0.123    -2.509     0.798     1.421  1020.591 70395.528    26.825    10.163     0.020     1.000
        21     1.438     0.231     0.000     0.129    -2.513     0.840     1.438  1020.631 69524.870    26.879    10.167     0.020     1.000
        22     1.456     0.235     0.000     0.134    -2.517     0.881     1.456  1020.671 68693.576    26.930    10.172     0.020     1.000
        23     1.473     0.238     0.000     0.140    -2.521     0.922     1.473  1020.708 67898.895    26.979    10.176     0.020     1.000
        24     1.489     0.241     0.000     0.145    -2.525     0.963     1.489  1020.744 67138.329    27.026    10.180     0.020     1.000
        25     1.506     0.244     0.000     0.150    -2.529     1.004     1.506  1020.778 66409.602    27.071    10.183     0.020     1.000
        26     1.522     0.247     0.000     0.156    -2.532     1.045     1.522  1020.811 65710.638    27.114    10.187     0.020     1.000
        27     1.538     0.250     0.000     0.161    -2.536     1.085     1.538  1020.842 65039.537    27.155    10.191     0.020     1.000
        28     1.553     0.253     0.000     0.166    -2.539     1.126     1.553  1020.873 64394.561    27.195    10.194     0.020     1.000
        29     1.568     0.256     0.000     0.171    -2.543     1.166     1.568  1020.902 63774.110    27.233    10.197     0.020     1.000
        30     1.583     0.259     0.000     0.176    -2.546     1.206     1.583  1020.930 63176.715    27.270    10.200     0.020     1.000
        31     1.597     0.262     0.000     0.180    -2.549     1.245     1.597  1020.957 62601.023    27.306    10.203     0.020     1.000
        32     1.612     0.264     0.000     0.185    -2.552     1.285     1.612  1020.983 62045.784    27.340    10.206     0.020     1.000
        33     1.626     0.267     0.000     0.190    -2.555     1.324     1.626  1021.008 61509.842    27.373    10.209     0.020     1.000
        34     1.640     0.270     0.000     0.195    -2.558     1.363     1.640  1021.033 60992.127    27.405    10.211     0.020     1.000
        35     1.653     0.273     0.000     0.199    -2.561     1.402     1.653  1021.056 60491.649    27.436    10.214     0.020     1.000
        36     1.666     0.275     0.000     0.204    -2.564     1.440     1.666  1021.079 60007.485    27.465    10.216     0.020     1.000
        37     1.680     0.278     0.000     0.208    -2.566     1.479     1.680  1021.101 59538.780    27.494    10.219     0.020     1.000
        38     1.692     0.280     0.000     0.213    -2.569     1.517     1.692  1021.123 59084.737    27.522    10.221     0.020     1.000
        39     1.705     0.283     0.000     0.217    -2.572     1.555     1.705  1021.143 58644.611    27.550    10.223     0.020     1.000
        40     1.718     0.285     0.000     0.222    -2.574     1.593     1.718  1021.163 58217.710    27.576    10.225     0.020     1.000
        41     1.730     0.288     0.000     0.226    -2.577     1.631     1.730  1021.183 57803.385    27.601    10.227     0.020     1.000
        42     1.742     0.290     0.000     0.230    -2.579     1.668     1.742  1021.202 57401.030    27.626    10.229     0.020     1.000
        43     1.754     0.293     0.000     0.235    -2.581     1.705     1.754  1021.220 57010.077    27.650    10.231     0.020     1.000
        44     1.766     0.295     0.000     0.239    -2.583     1.743     1.766  1021.238 56629.992    27.674    10.233     0.020     1.000
        45     1.777     0.298     0.000     0.243    -2.586     1.780     1.777  1021.256 56260.277    27.697    10.235     0.020     1.000
        46     1.789     0.300     0.000     0.247    -2.588     1.816     1.789  1021.272 55900.462    27.719    10.237     0.020     1.000
        47     1.800     0.302     0.000     0.251    -2.590     1.853     1.800  1021.289 55550.105    27.740    10.238     0.020     1.000
        48     1.811     0.304     0.000     0.255    -2.592     1.890     1.811  1021.305 55208.790    27.761    10.240     0.020     1.000
        49     1.822     0.307     0.000     0.259    -2.594     1.926     1.822  1021.321 54876.127    27.782    10.242     0.020     1.000
        50     1.833     0.309     0.000     0.263    -2.596     1.962     1.833  1021.336 54551.745    27.802    10.243     0.020     1.000
        51     1.844     0.311     0.000     0.267    -2.597     1.998     1.844  1021.351 54235.297    27.822    10.245     0.020     1.000
        52     1.854     0.313     0.000     0.271    -2.599     2.034     1.854  1021.365 53926.453    27.841    10.246     0.020     1.000
        53     1.865     0.315     0.000     0.275    -2.601     2.070     1.865  1021.380 53624.902    27.859    10.248     0.020     1.000
        54     1.875     0.317     0.000     0.279    -2.603     2.106     1.875  1021.394 53330.350    27.877    10.249     0.020     1.000
        55     1.885     0.319     0.000     0.282    -2.604     2.141     1.885  1021.407 53042.518    27.895    10.251     0.020     1.000
        56     1.895     0.321     0.000     0.286    -2.606     2.176     1.895  1021.420 52761.142    27.912    10.252     0.020     1.000
        57     1.905     0.324     0.000     0.290    -2.607     2.212     1.905  1021.433 52485.972    27.929    10.253     0.020     1.000
        58     1.915     0.326     0.000     0.294    -2.609     2.247     1.915  1021.446 52216.770    27.946    10.255     0.020     1.000
        59     1.925     0.328     0.000     0.297    -2.610     2.282     1.925  1021.458 51953.311    27.962    10.256     0.020     1.000
        60     1.934     0.329     0.000     0.301    -2.612     2.317     1.934  1021.471 51695.380    27.978    10.257     0.020     1.000
        61     1.944     0.331     0.000     0.305    -2.613     2.351     1.944  1021.483 51442.773    27.994    10.258     0.020     1.000
        62     1.953     0.333     0.000     0.308    -2.615     2.386     1.953  1021.494 51195.297    28.009    10.259     0.020     1.000
        63     1.963     0.335     0.000     0.312    -2.616     2.420     1.963  1021.506 50952.767    28.024    10.261     0.020     1.000
        64     1.972     0.337     0.000     0.315    -2.617     2.455     1.972  1021.517 50715.007    28.039    10.262     0.020     1.000
        65     1.981     0.339     0.000     0.319    -2.618     2.489     1.981  1021.528 50481.850    28.053    10.263     0.020     1.000
        66     1.990     0.341     0.000     0.322    -2.620     2.523     1.990  1021.539 50253.136    28.067    10.264     0.020     1.000
        67     1.999     0.343     0.000     0.326    -2.621     2.557     1.999  1021.549 50028.712    28.081    10.265     0.020     1.000
        68     2.008     0.344     0.000     0.329    -2.622     2.591     2.008  1021.560 49808.433    28.095    10.266     0.020     1.004
        69     2.016     0.346     0.000     0.333    -2.623     2.625     2.016  1021.570 49592.158    28.108    10.267     0.020     1.008
