****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.40      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
         1     1.020     0.158     0.000     0.006    -2.406     0.032     1.020  1034.593 98018.734    44.728    10.011     0.020     1.000
         2     1.039     0.160     0.000     0.011    -2.411     0.061     1.039  1034.404 96281.523    44.490    10.021     0.020     1.000
         3     1.058     0.162     0.000     0.016    -2.417     0.090     1.058  1034.215 94549.688    44.252    10.030     0.020     1.000
         4     1.077     0.164     0.000     0.021    -2.422     0.120     1.077  1034.030 92855.089    44.019    10.040     0.020     1.000
         5     1.097     0.167     0.000     0.026    -2.428     0.150     1.097  1033.849 91197.528    43.792    10.049     0.020     1.000
         6     1.116     0.169     0.000     0.032    -2.433     0.181     1.116  1033.672 89575.379    43.569    10.058     0.020     1.000
         7     1.137     0.171     0.000     0.037    -2.439     0.213     1.137  1033.499 87986.955    43.351    10.066     0.020     1.000
