****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.25     15.00     45.00     90.00     25.00      0.50     20.70    207.00      2.00      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
---------------------- Local maximum rise or fall --------------------
         1     1.000     0.195     0.000     0.001    -2.003     0.205     1.000  1034.807 99982.586    44.998    10.000     0.020     1.000
         2     1.000     0.121     0.000     0.001    -2.003     0.206     1.000  1034.807 99982.374    44.998    10.000     0.020     1.000
         3     1.000     0.121     0.000     0.001    -2.003     0.210     1.000  1034.806 99974.173    44.996    10.000     0.020     1.000
         4     1.000     0.120     0.000     0.001    -2.004     0.215     1.000  1034.805 99964.808    44.995    10.000     0.020     1.000
         5     1.000     0.118     0.000     0.001    -2.004     0.219     1.000  1034.804 99953.860    44.994    10.000     0.020     1.000
         6     1.001     0.117     0.000     0.001    -2.004     0.224     1.001  1034.803 99941.007    44.992    10.000     0.020     1.000
         7     1.001     0.115     0.000     0.001    -2.004     0.229     1.001  1034.801 99925.841    44.990    10.000     0.020     1.000
         8     1.001     0.114     0.000     0.001    -2.004     0.235     1.001  1034.799 99907.852    44.987    10.001     0.020     1.000
         9     1.001     0.112     0.000     0.001    -2.004     0.241     1.001  1034.797 99886.391    44.984    10.001     0.020     1.000
