****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.75     15.00     45.00     90.00     25.00      0.50     20.70    207.00      2.00      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
---------------------- Local maximum rise or fall --------------------
         1     1.000     0.606     0.000     0.000    -2.051     0.701     1.000  1034.809 99999.866    45.000    10.000     0.020     1.000
------------------------- merging happened ---------------------------
         2     1.000     0.059     0.000     0.000    -2.051     0.703     1.000  1034.805 99960.734    44.995    10.000     0.020     1.000
         3     1.021     0.060     0.000     0.000    -2.054     0.742     1.021  1034.588 97980.169    44.722    10.013     0.020     1.000
         4     1.041     0.059     0.000     0.000    -2.057     0.780     1.041  1034.375 96039.245    44.455    10.026     0.020     1.000
         5     1.062     0.059     0.000     0.001    -2.060     0.817     1.062  1034.167 94137.153    44.193    10.038     0.020     1.000
         6     1.084     0.059     0.000     0.001    -2.063     0.854     1.084  1033.963 92273.102    43.937    10.050     0.020     1.000
         7     1.106     0.059     0.000     0.001    -2.066     0.891     1.106  1033.763 90446.314    43.685    10.062     0.020     1.000
         8     1.128     0.059     0.000     0.001    -2.069     0.927     1.128  1033.566 88656.033    43.439    10.073     0.020     1.000
         9     1.151     0.059     0.000     0.001    -2.072     0.963     1.151  1033.374 86901.515    43.197    10.085     0.020     1.000
        10     1.174     0.059     0.000     0.001    -2.075     0.998     1.174  1033.186 85182.033    42.960    10.096     0.020     1.000
        11     1.198     0.059     0.000     0.001    -2.078     1.034     1.198  1033.001 83496.874    42.727    10.106     0.020     1.000
        12     1.222     0.059     0.000     0.001    -2.082     1.069     1.222  1032.820 81845.343    42.500    10.117     0.020     1.000
        13     1.246     0.059     0.000     0.001    -2.085     1.104     1.246  1032.643 80226.756    42.276    10.127     0.020     1.000
        14     1.272     0.059     0.000     0.002    -2.088     1.139     1.272  1032.469 78640.445    42.057    10.138     0.020     1.000
        15     1.297     0.060     0.000     0.002    -2.091     1.175     1.297  1032.299 77085.758    41.843    10.147     0.020     1.000
        16     1.323     0.060     0.000     0.002    -2.095     1.210     1.323  1032.132 75562.052    41.632    10.157     0.020     1.000
        17     1.350     0.060     0.000     0.002    -2.098     1.245     1.350  1031.968 74068.701    41.426    10.167     0.020     1.000
        18     1.377     0.060     0.000     0.002    -2.101     1.280     1.377  1031.808 72605.090    41.223    10.176     0.020     1.000
        19     1.405     0.061     0.000     0.003    -2.105     1.315     1.405  1031.651 71170.620    41.025    10.185     0.020     1.000
        20     1.433     0.061     0.000     0.003    -2.108     1.351     1.433  1031.497 69764.701    40.831    10.194     0.020     1.000
        21     1.462     0.062     0.000     0.003    -2.112     1.386     1.462  1031.346 68386.756    40.640    10.203     0.020     1.000
        22     1.492     0.062     0.000     0.003    -2.115     1.422     1.492  1031.198 67036.222    40.453    10.211     0.020     1.000
        23     1.522     0.062     0.000     0.004    -2.119     1.458     1.522  1031.053 65712.544    40.270    10.220     0.020     1.000
        24     1.552     0.063     0.000     0.004    -2.123     1.494     1.552  1030.911 64415.183    40.091    10.228     0.020     1.000
        25     1.584     0.063     0.000     0.004    -2.126     1.530     1.584  1030.771 63143.607    39.914    10.236     0.020     1.000
        26     1.616     0.064     0.000     0.004    -2.130     1.566     1.616  1030.635 61897.298    39.742    10.244     0.020     1.000
        27     1.648     0.064     0.000     0.005    -2.134     1.603     1.648  1030.501 60675.747    39.573    10.251     0.020     1.000
        28     1.681     0.065     0.000     0.005    -2.137     1.640     1.681  1030.370 59478.455    39.407    10.259     0.020     1.000
        29     1.715     0.065     0.000     0.005    -2.141     1.677     1.715  1030.241 58304.936    39.244    10.266     0.020     1.000
        30     1.750     0.066     0.000     0.006    -2.145     1.714     1.750  1030.115 57154.712    39.085    10.273     0.020     1.000
        31     1.785     0.067     0.000     0.006    -2.149     1.752     1.785  1029.992 56027.314    38.928    10.280     0.020     1.000
        32     1.821     0.067     0.000     0.006    -2.153     1.790     1.821  1029.871 54922.284    38.775    10.287     0.020     1.000
        33     1.857     0.068     0.000     0.007    -2.157     1.828     1.857  1029.752 53839.175    38.625    10.294     0.020     1.000
        34     1.895     0.068     0.000     0.007    -2.161     1.867     1.895  1029.636 52777.544    38.478    10.300     0.020     1.000
        35     1.933     0.069     0.000     0.007    -2.165     1.906     1.933  1029.522 51736.963    38.333    10.306     0.020     1.000
