****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.00      0.01     30.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
         1     1.020     0.158     0.000     0.006    -2.006     0.032     1.020  1023.097 98040.621    30.022    10.013     0.020     1.000
         2     1.040     0.161     0.000     0.011    -2.011     0.064     1.040  1023.111 96119.607    30.043    10.026     0.020     1.000
         3     1.061     0.164     0.000     0.017    -2.017     0.097     1.061  1023.125 94236.208    30.063    10.038     0.020     1.000
         4     1.082     0.167     0.000     0.023    -2.023     0.131     1.082  1023.139 92389.689    30.084    10.051     0.020     1.000
         5     1.104     0.171     0.000     0.029    -2.029     0.166     1.104  1023.152 90579.328    30.104    10.063     0.020     1.000
         6     1.126     0.174     0.000     0.035    -2.035     0.203     1.126  1023.166 88804.419    30.123    10.074     0.020     1.000
         7     1.149     0.177     0.000     0.041    -2.041     0.241     1.149  1023.179 87064.269    30.143    10.086     0.020     1.000
         8     1.172     0.181     0.000     0.048    -2.047     0.281     1.172  1023.192 85358.197    30.161    10.097     0.020     1.000
         9     1.195     0.184     0.000     0.054    -2.053     0.322     1.195  1023.204 83685.536    30.180    10.108     0.020     1.000
        10     1.219     0.188     0.000     0.061    -2.060     0.365     1.219  1023.217 82045.634    30.198    10.119     0.020     1.000
