****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.00      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
         1     1.020     0.158     0.000     0.006    -2.006     0.032     1.020  1034.592 98018.637    44.727    10.013     0.020     1.000
         2     1.039     0.160     0.000     0.011    -2.011     0.060     1.039  1034.403 96289.896    44.490    10.024     0.020     1.000
         3     1.057     0.162     0.000     0.016    -2.016     0.090     1.057  1034.214 94565.969    44.252    10.036     0.020     1.000
         4     1.077     0.164     0.000     0.021    -2.022     0.119     1.077  1034.029 92878.828    44.020    10.047     0.020     1.000
         5     1.096     0.166     0.000     0.026    -2.027     0.149     1.096  1033.848 91228.192    43.793    10.058     0.020     1.000
         6     1.116     0.169     0.000     0.031    -2.033     0.180     1.116  1033.671 89612.462    43.570    10.068     0.020     1.000
         7     1.136     0.171     0.000     0.037    -2.039     0.212     1.136  1033.497 88029.985    43.352    10.079     0.020     1.000
         8     1.156     0.173     0.000     0.042    -2.045     0.244     1.156  1033.327 86479.117    43.138    10.089     0.020     1.000
         9     1.177     0.175     0.000     0.047    -2.050     0.276     1.177  1033.161 84958.311    42.928    10.099     0.020     1.000
