****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.50     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
         1     1.003     0.391     0.000     0.010    -2.013     0.336     1.003  1026.964 99686.440    34.988    10.002     0.020     1.000
         2     1.004     0.360     0.000     0.010    -2.014     0.353     1.004  1026.963 99645.726    34.986    10.002     0.020     1.000
         3     1.004     0.359     0.000     0.011    -2.015     0.373     1.004  1026.961 99585.252    34.984    10.003     0.020     1.000
         4     1.005     0.357     0.000     0.012    -2.016     0.393     1.005  1026.959 99520.260    34.981    10.003     0.020     1.000
         5     1.006     0.356     0.000     0.012    -2.016     0.414     1.006  1026.957 99450.718    34.979    10.004     0.020     1.000
         6     1.006     0.354     0.000     0.013    -2.017     0.435     1.006  1026.955 99376.238    34.976    10.004     0.020     1.000
         7     1.007     0.353     0.000     0.013    -2.018     0.457     1.007  1026.952 99296.386    34.973    10.005     0.020     1.000
         8     1.008     0.351     0.000     0.014    -2.019     0.479     1.008  1026.950 99210.679    34.969    10.005     0.020     1.000
         9     1.009     0.349     0.000     0.015    -2.020     0.502     1.009  1026.947 99118.585    34.966    10.006     0.020     1.000
        10     1.010     0.348     0.000     0.015    -2.021     0.525     1.010  1026.944 99019.508    34.962    10.006     0.020     1.000
        11     1.011     0.346     0.000     0.016    -2.022     0.549     1.011  1026.940 98912.789    34.958    10.007     0.020     1.000
        12     1.012     0.345     0.000     0.017    -2.024     0.573     1.012  1026.937 98797.688    34.953    10.008     0.020     1.000
        13     1.013     0.343     0.000     0.018    -2.025     0.598     1.013  1026.933 98673.380    34.948    10.009     0.020     1.000
        14     1.015     0.342     0.000     0.018    -2.026     0.624     1.015  1026.928 98538.936    34.943    10.010     0.020     1.000
        15     1.016     0.340     0.000     0.019    -2.027     0.650     1.016  1026.924 98393.312    34.938    10.011     0.020     1.000
        16     1.018     0.339     0.000     0.020    -2.029     0.677     1.018  1026.919 98235.329    34.931    10.012     0.020     1.000
        17     1.020     0.337     0.000     0.021    -2.030     0.705     1.020  1026.913 98063.652    34.925    10.013     0.020     1.000
        18     1.022     0.336     0.000     0.022    -2.031     0.734     1.022  1026.908 97876.760    34.917    10.014     0.020     1.000
        19     1.024     0.334     0.000     0.022    -2.033     0.763     1.024  1026.901 97672.919    34.910    10.015     0.020     1.000
        20     1.026     0.333     0.000     0.023    -2.034     0.794     1.026  1026.894 97450.140    34.901    10.017     0.020     1.000
        21     1.029     0.331     0.000     0.024    -2.036     0.826     1.029  1026.887 97206.128    34.891    10.018     0.020     1.000
        22     1.032     0.330     0.000     0.025    -2.038     0.858     1.032  1026.878 96938.225    34.881    10.020     0.020     1.000
        23     1.035     0.328     0.000     0.026    -2.040     0.892     1.035  1026.869 96643.329    34.870    10.022     0.020     1.000
        24     1.038     0.327     0.000     0.027    -2.042     0.927     1.038  1026.859 96317.794    34.857    10.024     0.020     1.000
        25     1.042     0.326     0.000     0.028    -2.044     0.964     1.042  1026.847 95957.304    34.843    10.027     0.020     1.000
        26     1.046     0.325     0.000     0.029    -2.046     1.002     1.046  1026.835 95577.252    34.828    10.029     0.020     1.000
        27     1.051     0.323     0.000     0.031    -2.048     1.041     1.051  1026.823 95180.590    34.813    10.032     0.020     1.000
        28     1.055     0.322     0.000     0.032    -2.051     1.082     1.055  1026.810 94766.507    34.797    10.034     0.020     1.000
        29     1.060     0.321     0.000     0.033    -2.053     1.124     1.060  1026.796 94333.948    34.780    10.037     0.020     1.000
        30     1.065     0.320     0.000     0.034    -2.056     1.168     1.065  1026.782 93881.774    34.762    10.040     0.020     1.000
        31     1.071     0.318     0.000     0.036    -2.059     1.213     1.071  1026.767 93408.755    34.744    10.043     0.020     1.000
        32     1.076     0.317     0.000     0.037    -2.061     1.261     1.076  1026.752 92913.561    34.725    10.046     0.020     1.000
        33     1.082     0.316     0.000     0.038    -2.065     1.310     1.082  1026.735 92394.753    34.705    10.050     0.020     1.000
        34     1.089     0.315     0.000     0.040    -2.068     1.361     1.089  1026.718 91850.768    34.683    10.053     0.020     1.000
        35     1.096     0.314     0.000     0.041    -2.071     1.415     1.096  1026.700 91279.911    34.661    10.057     0.020     1.000
        36     1.103     0.313     0.000     0.043    -2.075     1.470     1.103  1026.682 90680.338    34.638    10.061     0.020     1.000
        37     1.110     0.312     0.000     0.045    -2.079     1.529     1.110  1026.662 90050.037    34.613    10.065     0.020     1.000
        38     1.119     0.311     0.000     0.046    -2.083     1.590     1.119  1026.641 89386.817    34.588    10.069     0.020     1.000
        39     1.128     0.310     0.000     0.048    -2.088     1.654     1.128  1026.619 88688.277    34.561    10.074     0.020     1.000
        40     1.137     0.309     0.000     0.050    -2.093     1.721     1.137  1026.596 87951.790    34.532    10.078     0.020     1.000
        41     1.147     0.308     0.000     0.052    -2.098     1.792     1.147  1026.572 87174.470    34.502    10.083     0.020     1.000
        42     1.158     0.308     0.000     0.054    -2.103     1.866     1.158  1026.546 86353.143    34.470    10.089     0.020     1.000
        43     1.170     0.307     0.000     0.056    -2.109     1.945     1.170  1026.519 85484.307    34.436    10.094     0.020     1.000
        44     1.183     0.306     0.000     0.059    -2.116     2.028     1.183  1026.490 84564.090    34.401    10.100     0.020     1.000
        45     1.196     0.306     0.000     0.061    -2.122     2.116     1.196  1026.459 83588.199    34.363    10.106     0.020     1.000
        46     1.211     0.305     0.000     0.064    -2.130     2.210     1.211  1026.427 82551.860    34.322    10.113     0.020     1.000
        47     1.228     0.305     0.000     0.067    -2.138     2.310     1.228  1026.392 81449.746    34.280    10.120     0.020     1.000
        48     1.246     0.305     0.000     0.070    -2.147     2.417     1.246  1026.356 80275.892    34.234    10.127     0.020     1.000
        49     1.265     0.305     0.000     0.073    -2.156     2.531     1.265  1026.316 79023.590    34.186    10.135     0.020     1.000
        50     1.287     0.306     0.000     0.076    -2.167     2.655     1.287  1026.275 77683.444    34.134    10.143     0.020     1.000
        51     1.312     0.306     0.000     0.080    -2.178     2.788     1.312  1026.230 76244.033    34.078    10.152     0.020     1.000
        52     1.338     0.307     0.000     0.084    -2.190     2.928     1.338  1026.183 74745.643    34.020    10.161     0.020     1.000
        53     1.365     0.308     0.000     0.087    -2.203     3.067     1.365  1026.137 73276.767    33.963    10.170     0.020     1.000
        54     1.392     0.309     0.000     0.091    -2.215     3.205     1.392  1026.092 71836.823    33.907    10.179     0.020     1.000
        55     1.420     0.310     0.000     0.095    -2.228     3.343     1.420  1026.048 70425.237    33.852    10.188     0.020     1.000
        56     1.448     0.311     0.000     0.098    -2.241     3.480     1.448  1026.005 69041.449    33.799    10.196     0.020     1.000
        57     1.477     0.313     0.000     0.102    -2.253     3.616     1.477  1025.963 67684.908    33.746    10.204     0.020     1.000
        58     1.507     0.314     0.000     0.105    -2.266     3.753     1.507  1025.921 66355.077    33.695    10.212     0.020     1.000
        59     1.537     0.316     0.000     0.109    -2.279     3.889     1.537  1025.881 65051.427    33.645    10.219     0.020     1.000
        60     1.568     0.318     0.000     0.113    -2.292     4.025     1.568  1025.841 63773.441    33.595    10.227     0.020     1.000
        61     1.599     0.320     0.000     0.116    -2.305     4.162     1.599  1025.802 62520.611    33.547    10.234     0.020     1.000
        62     1.632     0.323     0.000     0.120    -2.319     4.299     1.632  1025.764 61292.441    33.500    10.241     0.020     1.000
        63     1.664     0.325     0.000     0.123    -2.332     4.436     1.664  1025.727 60088.442    33.453    10.248     0.020     1.000
        64     1.698     0.327     0.000     0.127    -2.345     4.574     1.698  1025.690 58908.139    33.408    10.254     0.020     1.000
        65     1.732     0.330     0.000     0.130    -2.359     4.712     1.732  1025.654 57751.062    33.363    10.260     0.020     1.000
        66     1.766     0.333     0.000     0.134    -2.373     4.851     1.766  1025.619 56616.753    33.319    10.267     0.020     1.000
        67     1.802     0.335     0.000     0.137    -2.387     4.991     1.802  1025.585 55504.762    33.276    10.273     0.020     1.000
        68     1.838     0.338     0.000     0.141    -2.401     5.132     1.838  1025.551 54414.649    33.234    10.278     0.020     1.000
        69     1.875     0.341     0.000     0.144    -2.415     5.273     1.875  1025.518 53345.982    33.193    10.284     0.020     1.000
        70     1.912     0.344     0.000     0.148    -2.429     5.416     1.912  1025.486 52298.337    33.153    10.289     0.020     1.000
