****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.01     15.00     45.00     90.00     25.00      2.00     20.70    207.00      2.00      0.01      2.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth     P-Den    P-Con.    CL-Dil      Time   Net-Dil     P-Sal    P-Temp  Amb-Curr        DO
      Step (FluxAvg)       (m)       (m)       (m)       (m)   (kg/m3)    (mg/L)        ()       (s)        ()     (psu)       (C)     (m/s)    (mg/L)
         1     1.020     0.010     0.000     0.000    -2.000  1001.774 98082.744     1.000     0.000     1.020     2.571    10.013     0.020     9.804
         2     1.039     0.010     0.000     0.001    -1.999  1002.210 96201.366     1.000     0.000     1.039     3.130    10.026     0.020     9.778
         3     1.060     0.010     0.000     0.001    -1.999  1002.636 94355.233     1.000     0.001     1.060     3.678    10.038     0.020     9.753
         4     1.081     0.011     0.000     0.001    -1.999  1003.055 92543.718     1.000     0.001     1.081     4.216    10.051     0.020     9.729
         5     1.102     0.011     0.000     0.002    -1.998  1003.465 90766.206     1.000     0.001     1.102     4.743    10.063     0.020     9.705
         6     1.123     0.011     0.000     0.002    -1.998  1003.866 89022.090     1.000     0.001     1.123     5.260    10.075     0.020     9.681
         7     1.145     0.011     0.000     0.003    -1.997  1004.260 87310.775     1.000     0.001     1.145     5.767    10.086     0.020     9.658
         8     1.168     0.011     0.000     0.003    -1.997  1004.645 85631.671     1.000     0.002     1.168     6.263    10.098     0.020     9.635
         9     1.191     0.012     0.000     0.003    -1.997  1005.023 83984.202     1.000     0.002     1.191     6.750    10.109     0.020     9.613
        10     1.214     0.012     0.000     0.004    -1.996  1005.394 82367.798     1.000     0.002     1.214     7.228    10.120     0.020     9.591
        11     1.238     0.012     0.000     0.004    -1.996  1005.757 80781.898     1.000     0.003     1.238     7.696    10.131     0.020     9.570
        12     1.262     0.012     0.000     0.005    -1.995  1006.112 79225.953     1.000     0.003     1.262     8.155    10.141     0.020     9.549
        13     1.287     0.013     0.000     0.005    -1.995  1006.461 77699.419     1.000     0.003     1.287     8.605    10.151     0.020     9.528
        14     1.312     0.013     0.000     0.005    -1.995  1006.803 76201.764     1.000     0.003     1.312     9.046    10.162     0.020     9.508
        15     1.338     0.013     0.000     0.006    -1.994  1007.138 74732.462     1.000     0.004     1.338     9.478    10.171     0.020     9.488
        16     1.364     0.013     0.000     0.006    -1.994  1007.466 73290.999     1.000     0.004     1.364     9.902    10.181     0.020     9.468
        17     1.391     0.014     0.000     0.007    -1.993  1007.788 71876.866     1.000     0.004     1.391    10.318    10.191     0.020     9.449
        18     1.419     0.014     0.000     0.007    -1.993  1008.103 70489.564     1.000     0.005     1.419    10.725    10.200     0.020     9.431
        19     1.447     0.014     0.000     0.008    -1.992  1008.412 69128.603     1.000     0.005     1.447    11.125    10.209     0.020     9.412
        20     1.475     0.015     0.000     0.008    -1.992  1008.715 67793.499     1.000     0.006     1.475    11.516    10.218     0.020     9.394
        21     1.504     0.015     0.000     0.009    -1.991  1009.012 66483.780     1.000     0.006     1.504    11.900    10.227     0.020     9.377
        22     1.534     0.015     0.000     0.009    -1.991  1009.303 65198.977     1.000     0.007     1.534    12.277    10.236     0.020     9.360
        23     1.564     0.015     0.000     0.010    -1.990  1009.588 63938.633     1.000     0.007     1.564    12.646    10.244     0.020     9.343
        24     1.595     0.016     0.000     0.010    -1.990  1009.868 62702.296     1.000     0.007     1.595    13.008    10.253     0.020     9.326
        25     1.626     0.016     0.000     0.011    -1.989  1010.142 61489.524     1.000     0.008     1.626    13.362    10.261     0.020     9.310
        26     1.658     0.016     0.000     0.011    -1.989  1010.411 60299.882     1.000     0.008     1.658    13.710    10.269     0.020     9.294
        27     1.691     0.017     0.000     0.012    -1.988  1010.674 59132.940     1.000     0.009     1.691    14.051    10.277     0.020     9.278
        28     1.724     0.017     0.000     0.013    -1.987  1010.932 57988.279     1.000     0.010     1.724    14.385    10.284     0.020     9.263
        29     1.759     0.017     0.000     0.013    -1.987  1011.185 56865.486     1.000     0.010     1.759    14.713    10.292     0.020     9.248
        30     1.793     0.018     0.000     0.014    -1.986  1011.433 55764.153     1.000     0.011     1.793    15.034    10.299     0.020     9.233
        31     1.829     0.018     0.000     0.014    -1.986  1011.676 54683.883     1.000     0.011     1.829    15.349    10.307     0.020     9.218
        32     1.865     0.018     0.000     0.015    -1.985  1011.915 53624.282     1.000     0.012     1.865    15.658    10.314     0.020     9.204
        33     1.902     0.019     0.000     0.016    -1.984  1012.149 52584.966     1.000     0.013     1.902    15.961    10.321     0.020     9.190
        34     1.939     0.019     0.000     0.016    -1.984  1012.378 51565.556     1.000     0.013     1.939    16.258    10.328     0.020     9.177
        35     1.978     0.019     0.000     0.017    -1.983  1012.602 50565.680     1.000     0.014     1.978    16.549    10.334     0.020     9.163
        36     2.017     0.020     0.000     0.018    -1.982  1012.822 49584.973     1.008     0.015     2.017    16.834    10.341     0.020     9.150
        37     2.057     0.020     0.000     0.018    -1.982  1013.038 48623.076     1.028     0.016     2.057    17.114    10.347     0.020     9.137
        38     2.097     0.021     0.000     0.019    -1.981  1013.250 47679.636     1.049     0.016     2.097    17.388    10.354     0.020     9.124
        39     2.139     0.021     0.000     0.020    -1.980  1013.457 46754.309     1.069     0.017     2.139    17.657    10.360     0.020     9.112
        40     2.181     0.021     0.000     0.021    -1.980  1013.660 45846.753     1.091     0.018     2.181    17.920    10.366     0.020     9.100
        41     2.224     0.022     0.000     0.021    -1.979  1013.860 44956.634     1.112     0.019     2.224    18.179    10.372     0.020     9.088
        42     2.268     0.022     0.000     0.022    -1.978  1014.055 44083.625     1.134     0.020     2.268    18.432    10.378     0.020     9.076
        43     2.313     0.023     0.000     0.023    -1.977  1014.246 43227.403     1.157     0.021     2.313    18.680    10.384     0.020     9.065
        44     2.359     0.023     0.000     0.024    -1.976  1014.434 42387.653     1.180     0.022     2.359    18.924    10.389     0.020     9.053
        45     2.406     0.024     0.000     0.025    -1.976  1014.618 41564.063     1.203     0.023     2.406    19.163    10.395     0.020     9.042
        46     2.454     0.024     0.000     0.025    -1.975  1014.799 40756.329     1.227     0.024     2.454    19.397    10.400     0.020     9.031
        47     2.502     0.025     0.000     0.026    -1.974  1014.976 39964.151     1.251     0.025     2.502    19.626    10.406     0.020     9.021
        48     2.552     0.025     0.000     0.027    -1.973  1015.149 39187.235     1.276     0.027     2.552    19.851    10.411     0.020     9.010
        49     2.602     0.026     0.000     0.028    -1.972  1015.319 38425.292     1.301     0.028     2.602    20.072    10.416     0.020     9.000
        50     2.654     0.026     0.000     0.029    -1.971  1015.486 37678.040     1.327     0.029     2.654    20.288    10.421     0.020     8.990
        51     2.707     0.027     0.000     0.030    -1.970  1015.649 36945.199     1.353     0.030     2.707    20.500    10.426     0.020     8.980
        52     2.760     0.027     0.000     0.031    -1.969  1015.809 36226.496     1.380     0.032     2.760    20.707    10.431     0.020     8.970
        53     2.815     0.028     0.000     0.032    -1.969  1015.966 35521.664     1.408     0.033     2.815    20.911    10.436     0.020     8.961
        54     2.871     0.028     0.000     0.033    -1.968  1016.120 34830.438     1.436     0.035     2.871    21.111    10.441     0.020     8.951
        55     2.928     0.029     0.000     0.034    -1.967  1016.271 34152.561     1.464     0.036     2.928    21.307    10.445     0.020     8.942
        56     2.986     0.029     0.000     0.035    -1.966  1016.419 33487.779     1.493     0.038     2.986    21.499    10.450     0.020     8.933
        57     3.045     0.030     0.000     0.036    -1.965  1016.564 32835.842     1.523     0.040     3.045    21.687    10.454     0.020     8.925
        58     3.106     0.031     0.000     0.037    -1.964  1016.707 32196.506     1.553     0.042     3.106    21.871    10.458     0.020     8.916
        59     3.168     0.031     0.000     0.038    -1.962  1016.846 31569.531     1.584     0.044     3.168    22.052    10.463     0.020     8.907
        60     3.231     0.032     0.000     0.039    -1.961  1016.983 30954.681     1.615     0.045     3.231    22.230    10.467     0.020     8.899
        61     3.295     0.032     0.000     0.040    -1.960  1017.117 30351.726     1.647     0.047     3.295    22.403    10.471     0.020     8.891
        62     3.360     0.033     0.000     0.041    -1.959  1017.248 29760.437     1.680     0.050     3.360    22.574    10.475     0.020     8.883
        63     3.427     0.034     0.000     0.042    -1.958  1017.377 29180.594     1.713     0.052     3.427    22.741    10.479     0.020     8.875
        64     3.495     0.034     0.000     0.044    -1.957  1017.503 28611.976     1.748     0.054     3.495    22.905    10.483     0.020     8.867
        65     3.565     0.035     0.000     0.045    -1.956  1017.627 28054.370     1.782     0.056     3.565    23.065    10.487     0.020     8.860
        66     3.635     0.036     0.000     0.046    -1.954  1017.748 27507.565     1.818     0.059     3.635    23.223    10.490     0.020     8.852
        67     3.708     0.036     0.000     0.047    -1.953  1017.867 26971.354     1.854     0.061     3.708    23.377    10.494     0.020     8.845
        68     3.781     0.037     0.000     0.049    -1.952  1017.984 26445.534     1.891     0.064     3.781    23.529    10.498     0.020     8.838
        69     3.857     0.038     0.000     0.050    -1.951  1018.098 25929.907     1.928     0.067     3.857    23.677    10.501     0.020     8.830
