****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.020    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.01     15.00     45.00     90.00     25.00      2.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil        TA       DIC        pH    OmegaC    OmegaA     R_cal     R_arg
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        () (mmol/m3) (mmol/m3)   (total)        ()        () (umol/hr) (umol/hr)
         1     1.020     0.013     0.000     0.000    -2.000     0.009     1.020  1026.912 98033.309    34.924    10.013     0.020     1.000 20193.616  2566.114    11.988    59.293    37.737105022.286     0.000
         2     1.041     0.013     0.000     0.001    -1.999     0.017     1.041  1026.852 96105.410    34.849    10.026     0.020     1.000 19854.525  2564.817    11.978    59.291    37.732105014.261     0.000
         3     1.061     0.013     0.000     0.001    -1.999     0.024     1.061  1026.792 94215.534    34.775    10.038     0.020     1.000 19522.084  2563.546    11.968    59.290    37.728105005.490     0.000
         4     1.083     0.014     0.000     0.002    -1.999     0.032     1.083  1026.734 92362.927    34.703    10.051     0.020     1.000 19196.162  2562.300    11.958    59.288    37.723104995.986     0.000
         5     1.104     0.014     0.000     0.002    -1.998     0.040     1.104  1026.677 90546.849    34.632    10.063     0.020     1.000 18876.632  2561.079    11.947    59.286    37.718104985.758     0.000
         6     1.127     0.014     0.000     0.002    -1.998     0.048     1.127  1026.621 88766.577    34.563    10.075     0.020     1.000 18563.368  2559.881    11.937    59.284    37.713104974.814     0.000
         7     1.149     0.014     0.000     0.003    -1.998     0.056     1.149  1026.566 87023.975    34.495    10.086     0.020     1.000 18256.699  2558.709    11.927    59.281    37.708104963.180     0.000
         8     1.172     0.015     0.000     0.003    -1.997     0.064     1.172  1026.513 85345.077    34.430    10.097     0.020     1.000 17961.212  2557.579    11.917    59.279    37.704104951.064     0.000
         9     1.194     0.015     0.000     0.003    -1.997     0.072     1.194  1026.462 83723.490    34.367    10.108     0.020     1.000 17675.782  2556.488    11.907    59.277    37.699104938.474     0.000
