****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
         5     1.101     0.083     0.011     0.007   -10.987     0.005     1.101  1002.453    90.793     3.017     3.136     0.053     1.000
        10     1.213     0.091     0.024     0.014   -10.972     0.010     1.213  1004.634    82.413     5.749     3.595     0.053     1.000
        15     1.337     0.101     0.038     0.022   -10.956     0.017     1.337  1006.596    74.790     8.224     4.010     0.053     1.000
        20     1.474     0.111     0.054     0.031   -10.938     0.025     1.474  1008.362    67.858    10.465     4.386     0.053     1.000
        25     1.624     0.122     0.071     0.040   -10.919     0.036     1.624  1009.953    61.558    12.495     4.727     0.053     1.000
        30     1.791     0.135     0.089     0.051   -10.898     0.048     1.791  1011.388    55.834    14.334     5.035     0.053     1.000
        35     1.975     0.149     0.110     0.063   -10.874     0.063     1.975  1012.684    50.636    15.999     5.315     0.053     1.000
        40     2.178     0.164     0.133     0.076   -10.848     0.081     2.178  1013.853    45.915    17.508     5.568     0.053     1.089
        45     2.402     0.181     0.158     0.090   -10.820     0.102     2.402  1014.909    41.630    18.874     5.797     0.053     1.201
        50     2.650     0.199     0.185     0.105   -10.789     0.129     2.650  1015.863    37.741    20.111     6.005     0.053     1.325
        55     2.923     0.220     0.216     0.122   -10.754     0.161     2.923  1016.726    34.212    21.232     6.193     0.053     1.461
        60     3.225     0.242     0.249     0.141   -10.717     0.199     3.225  1017.506    31.011    22.247     6.363     0.053     1.612
        65     3.558     0.266     0.286     0.161   -10.676     0.245     3.558  1018.211    28.107    23.166     6.518     0.053     1.779
        70     3.926     0.293     0.326     0.183   -10.631     0.301     3.926  1018.850    25.473    23.999     6.657     0.053     1.963
