****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.020    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.01      0.30    -45.00     90.00     25.00      2.00     20.70    207.00     10.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
        10     1.220     0.015     0.000     0.004   -10.004     0.081     1.220  1026.535 81999.728    34.413     9.893     0.020     1.000
        20     1.487     0.018     0.000     0.008   -10.007     0.180     1.487  1026.174 67244.706    33.932     9.806     0.020     1.000
        30     1.813     0.021     0.000     0.012   -10.011     0.302     1.813  1025.878 55148.173    33.537     9.734     0.020     1.000
        40     2.211     0.024     0.000     0.017   -10.016     0.451     2.211  1025.636 45230.002    33.213     9.675     0.020     1.105
        50     2.696     0.028     0.000     0.023   -10.020     0.630     2.696  1025.436 37097.149    32.947     9.627     0.020     1.348
        60     3.286     0.032     0.000     0.030   -10.025     0.845     3.286  1025.273 30427.733    32.729     9.587     0.020     1.643
        70     4.007     0.037     0.000     0.037   -10.030     1.101     4.007  1025.139 24958.075    32.551     9.555     0.020     2.003
        80     4.885     0.042     0.000     0.045   -10.035     1.403     4.885  1025.029 20472.118    32.404     9.528     0.020     2.442
        90     5.955     0.048     0.000     0.054   -10.041     1.759     5.955  1024.939 16792.789    32.284     9.506     0.020     2.977
       100     7.260     0.054     0.000     0.064   -10.047     2.179     7.260  1024.865 13774.942    32.185     9.488     0.020     3.630
       110     8.850     0.061     0.000     0.075   -10.053     2.670     8.850  1024.804 11299.582    32.104     9.473     0.020     4.425
       120    10.788     0.069     0.000     0.089   -10.060     3.246    10.788  1024.754  9269.143    32.038     9.461     0.020     5.394
       130    13.152     0.077     0.000     0.104   -10.068     3.919    13.152  1024.714  7603.623    31.984     9.451     0.020     6.576
       140    16.032     0.086     0.000     0.121   -10.076     4.705    16.032  1024.680  6237.416    31.939     9.442     0.020     8.016
       150    19.544     0.096     0.000     0.141   -10.085     5.622    19.544  1024.653  5116.717    31.903     9.435     0.020     9.772
       160    23.824     0.108     0.000     0.164   -10.094     6.691    23.824  1024.631  4197.399    31.873     9.430     0.020    11.912
       170    29.042     0.120     0.000     0.190   -10.104     7.936    29.042  1024.612  3443.267    31.848     9.425     0.020    14.521
       180    35.403     0.133     0.000     0.220   -10.116     9.386    35.403  1024.597  2824.637    31.828     9.421     0.020    17.701
       190    43.156     0.148     0.000     0.255   -10.128    11.072    43.156  1024.585  2317.159    31.812     9.418     0.020    21.578
       200    52.608     0.165     0.000     0.296   -10.142    13.034    52.608  1024.575  1900.859    31.799     9.415     0.020    26.304
       210    64.129     0.183     0.000     0.342   -10.156    15.318    64.129  1024.567  1559.354    31.788     9.413     0.020    32.065
       220    78.174     0.203     0.000     0.397   -10.173    17.976    78.174  1024.560  1279.205    31.779     9.411     0.020    39.087
       230    95.294     0.225     0.000     0.460   -10.190    21.073    95.294  1024.555  1049.388    31.772     9.409     0.020    47.647
------------------------- Plume hits the bottom ----------------------
       231    97.200     0.227     0.000     0.466   -10.192    21.409    97.200  1024.555  1028.812    31.771     9.409     0.020    48.600
-------------------- Starting Farfield Calculations --------------------
Note: Plumes not merged, Brooks method may be overly conservative
Farfield dispersion based on wastefield width of :      48.23 (m)
4/3 Power Law based Eddy Diffusivity is used:
  Dilution     Width  Distance      Time    Bckgrd     Conc.
        ()       (m)       (m)    (hrs.)    (mg/L)    (mg/L)
    97.200    48.240     0.466     0.000     0.000  1028.812
    97.309    54.620    10.000     0.133     0.000  1031.241
   100.125    61.590    20.000     0.272     0.000  1029.821
   106.694    68.833    30.000     0.410     0.000  1000.178
   115.451    76.340    40.000     0.549     0.000   868.757
   125.480    84.102    50.000     0.688     0.000   800.190
   136.351    92.110    60.000     0.827     0.000   737.149
   147.847   100.358    70.000     0.966     0.000   680.467
   159.849   108.838    80.000     1.105     0.000   629.902
   172.289   117.544    90.000     1.244     0.000   584.865
   185.121   126.471   100.000     1.383     0.000   544.696
   198.314   135.613   110.000     1.522     0.000   508.773
   211.849   144.965   120.000     1.660     0.000   476.538
   225.707   154.523   130.000     1.799     0.000   447.510
   239.877   164.282   140.000     1.938     0.000   421.275
   254.348   174.238   150.000     2.077     0.000   397.481
   269.111   184.388   160.000     2.216     0.000   375.828
   284.158   194.727   170.000     2.355     0.000   356.061
   299.483   205.253   180.000     2.494     0.000   337.959
   315.080   215.962   190.000     2.633     0.000   321.335
   330.942   226.850   200.000     2.772     0.000   306.027
............................. Reached Chronic Mixing Zone ..........................
   347.066   237.916   210.000     2.910     0.000   291.893
   363.447   249.157   220.000     3.049     0.000   278.813
   380.080   260.569   230.000     3.188     0.000   266.680
   396.961   272.150   240.000     3.327     0.000   255.400
   414.086   283.897   250.000     3.466     0.000   244.893
   431.452   295.809   260.000     3.605     0.000   235.087
   449.056   307.883   270.000     3.744     0.000   225.917
   466.893   320.118   280.000     3.883     0.000   217.329
   484.961   332.509   290.000     4.022     0.000   209.270
   503.257   345.057   300.000     4.160     0.000   201.697
   521.779   357.759   310.000     4.299     0.000   194.570
   540.522   370.613   320.000     4.438     0.000   187.853
   559.485   383.617   330.000     4.577     0.000   181.514
   578.665   396.770   340.000     4.716     0.000   175.523
   598.060   410.070   350.000     4.855     0.000   169.855
   617.667   423.516   360.000     4.994     0.000   164.485
   637.484   437.105   370.000     5.133     0.000   159.392
   657.508   450.836   380.000     5.272     0.000   154.557
   677.738   464.708   390.000     5.410     0.000   149.961
   698.172   478.720   400.000     5.549     0.000   145.589
   718.807   492.870   410.000     5.688     0.000   141.425
   739.641   507.156   420.000     5.827     0.000   137.456
   760.673   521.578   430.000     5.966     0.000   133.669
   781.901   536.135   440.000     6.105     0.000   130.053
   803.323   550.824   450.000     6.244     0.000   126.597
   824.937   565.644   460.000     6.383     0.000   123.291
   846.741   580.596   470.000     6.522     0.000   120.127
   868.734   595.677   480.000     6.660     0.000   117.096
   890.915   610.886   490.000     6.799     0.000   114.190
   913.281   626.223   500.000     6.938     0.000   111.402
   919.971   630.810   502.975     6.980     0.000   108.726
