****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.020    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.01     15.00     45.00     90.00     25.00      2.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
         1     1.020     0.013     0.000     0.000    -2.000     0.000     1.020  1026.912 98033.309    34.924    10.013     0.020     1.000
         2     1.041     0.013     0.000     0.001    -1.999     0.001     1.041  1026.852 96105.410    34.849    10.026     0.020     1.000
         3     1.061     0.013     0.000     0.001    -1.999     0.001     1.061  1026.792 94215.534    34.775    10.038     0.020     1.000
         4     1.083     0.014     0.000     0.002    -1.998     0.002     1.083  1026.734 92362.927    34.703    10.051     0.020     1.000
         5     1.104     0.014     0.000     0.002    -1.998     0.002     1.104  1026.677 90546.849    34.632    10.063     0.020     1.000
         6     1.127     0.014     0.000     0.003    -1.997     0.003     1.127  1026.621 88766.577    34.563    10.075     0.020     1.000
         7     1.149     0.014     0.000     0.003    -1.997     0.003     1.149  1026.566 87021.400    34.495    10.086     0.020     1.000
         8     1.172     0.015     0.000     0.004    -1.996     0.004     1.172  1026.512 85310.624    34.429    10.098     0.020     1.000
         9     1.196     0.015     0.000     0.004    -1.996     0.004     1.196  1026.459 83633.566    34.363    10.109     0.020     1.000
        10     1.220     0.015     0.000     0.005    -1.995     0.005     1.220  1026.408 81989.559    34.299    10.120     0.020     1.000
        11     1.244     0.016     0.000     0.005    -1.995     0.005     1.244  1026.357 80377.948    34.237    10.131     0.020     1.000
        12     1.269     0.016     0.000     0.006    -1.994     0.006     1.269  1026.307 78798.092    34.175    10.141     0.020     1.000
        13     1.295     0.016     0.000     0.007    -1.993     0.007     1.295  1026.258 77249.362    34.115    10.151     0.020     1.000
        14     1.320     0.017     0.000     0.007    -1.993     0.007     1.320  1026.211 75731.142    34.056    10.162     0.020     1.000
        15     1.347     0.017     0.000     0.008    -1.992     0.008     1.347  1026.164 74242.828    33.998    10.172     0.020     1.000
        16     1.374     0.017     0.000     0.008    -1.992     0.009     1.374  1026.118 72783.828    33.941    10.181     0.020     1.000
        17     1.401     0.018     0.000     0.009    -1.991     0.010     1.401  1026.073 71353.563    33.885    10.191     0.020     1.000
        18     1.430     0.018     0.000     0.010    -1.990     0.010     1.430  1026.029 69951.464    33.831    10.200     0.020     1.000
        19     1.458     0.018     0.000     0.010    -1.990     0.011     1.458  1025.985 68576.974    33.777    10.209     0.020     1.000
        20     1.487     0.019     0.000     0.011    -1.989     0.012     1.487  1025.943 67229.547    33.724    10.218     0.020     1.000
        21     1.517     0.019     0.000     0.012    -1.989     0.013     1.517  1025.901 65908.648    33.673    10.227     0.020     1.000
        22     1.548     0.019     0.000     0.012    -1.988     0.014     1.548  1025.861 64613.754    33.622    10.236     0.020     1.000
        23     1.579     0.020     0.000     0.013    -1.987     0.015     1.579  1025.821 63344.349    33.573    10.244     0.020     1.000
        24     1.610     0.020     0.000     0.014    -1.986     0.016     1.610  1025.781 62099.930    33.524    10.253     0.020     1.000
        25     1.643     0.021     0.000     0.014    -1.986     0.017     1.643  1025.743 60880.004    33.477    10.261     0.020     1.000
        26     1.675     0.021     0.000     0.015    -1.985     0.018     1.675  1025.705 59684.086    33.430    10.269     0.020     1.000
        27     1.709     0.021     0.000     0.016    -1.984     0.019     1.709  1025.668 58511.703    33.385    10.277     0.020     1.000
        28     1.743     0.022     0.000     0.017    -1.984     0.020     1.743  1025.632 57362.390    33.340    10.285     0.020     1.000
        29     1.778     0.022     0.000     0.017    -1.983     0.022     1.778  1025.597 56235.691    33.296    10.292     0.020     1.000
        30     1.814     0.023     0.000     0.018    -1.982     0.023     1.814  1025.562 55131.159    33.253    10.300     0.020     1.000
        31     1.850     0.023     0.000     0.019    -1.981     0.024     1.850  1025.528 54048.358    33.210    10.307     0.020     1.000
        32     1.887     0.024     0.000     0.020    -1.980     0.026     1.887  1025.494 52986.858    33.169    10.314     0.020     1.000
        33     1.925     0.024     0.000     0.021    -1.980     0.027     1.925  1025.462 51946.239    33.128    10.321     0.020     1.000
        34     1.964     0.025     0.000     0.021    -1.979     0.028     1.964  1025.429 50926.089    33.089    10.328     0.020     1.000
        35     2.003     0.025     0.000     0.022    -1.978     0.030     2.003  1025.398 49926.003    33.050    10.335     0.020     1.001
        36     2.043     0.026     0.000     0.023    -1.977     0.032     2.043  1025.367 48945.587    33.011    10.341     0.020     1.022
        37     2.084     0.026     0.000     0.024    -1.976     0.033     2.084  1025.337 47984.451    32.974    10.348     0.020     1.042
        38     2.126     0.027     0.000     0.025    -1.975     0.035     2.126  1025.307 47042.217    32.937    10.354     0.020     1.063
        39     2.168     0.027     0.000     0.026    -1.974     0.037     2.168  1025.278 46118.510    32.901    10.360     0.020     1.084
        40     2.212     0.028     0.000     0.027    -1.973     0.039     2.212  1025.249 45212.967    32.866    10.367     0.020     1.106
        41     2.256     0.028     0.000     0.028    -1.972     0.041     2.256  1025.221 44325.228    32.831    10.373     0.020     1.128
        42     2.301     0.029     0.000     0.029    -1.971     0.043     2.301  1025.194 43454.942    32.797    10.378     0.020     1.151
        43     2.347     0.029     0.000     0.030    -1.970     0.045     2.347  1025.167 42601.766    32.764    10.384     0.020     1.174
        44     2.394     0.030     0.000     0.031    -1.969     0.047     2.394  1025.141 41765.363    32.731    10.390     0.020     1.197
        45     2.442     0.031     0.000     0.032    -1.968     0.049     2.442  1025.115 40945.401    32.699    10.396     0.020     1.221
        46     2.491     0.031     0.000     0.033    -1.967     0.052     2.491  1025.089 40141.557    32.667    10.401     0.020     1.246
        47     2.541     0.032     0.000     0.034    -1.966     0.054     2.541  1025.064 39353.513    32.637    10.406     0.020     1.271
        48     2.592     0.032     0.000     0.036    -1.965     0.057     2.592  1025.040 38580.957    32.606    10.412     0.020     1.296
        49     2.644     0.033     0.000     0.037    -1.964     0.059     2.644  1025.016 37823.586    32.577    10.417     0.020     1.322
        50     2.697     0.034     0.000     0.038    -1.963     0.062     2.697  1024.993 37081.099    32.548    10.422     0.020     1.348
